FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet Controls Requirement Title,Target ID #,OneLeet Controls Requirement Description,Notes
CM-1,CM-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. configuration management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls; b. Desi...",medium,functional,"FedRAMP v5 Low CM-1 requires a. Develop, document, and disseminate to : 1. configuration management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination am.... OneLeet Controls VM.VMPE.V1 requires A vulnerability management policy is established that outlines the procedures for identifying, assessing, and remediating vulnerabilities in the organization's systems and appli.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Vulnerability management policy established,VM.VMPE.V1,"A vulnerability management policy is established that outlines the procedures for identifying, assessing, and remediating vulnerabilities in the organization's systems and applications.","Overlap: risk management; governance and policy. Divergence: FedRAMP v5 Low emphasizes cm-01, configuration; OneLeet Controls emphasizes vulnerability, established, applications."
CM-2,CM-02 - Baseline Configuration,"a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b. Review and update the baseline configuration of the system: 1. ; 2. When required due to ; and 3. When system components are installed or upgraded. Guidance Baseline configurations for systems and system components include connectivity, operational, and communications aspects of systems. Baseline configurations are documented, formally reviewed, and agreed-upon specifications...",medium,functional,"FedRAMP v5 Low CM-2 requires a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b. Review and update the baseline configuration of the system.... OneLeet Controls IS.CM.V1 requires Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.. Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Configuration management,IS.CM.V1,"Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.","Overlap: audit and monitoring. Divergence: FedRAMP v5 Low emphasizes baseline, cm-02; OneLeet Controls emphasizes configurations, documented, established."
CM-4,CM-04 - Impact Analyses,"Analyze changes to the system to determine potential security and privacy impacts prior to change implementation. Guidance Organizational personnel with security or privacy responsibilities conduct impact analyses. Individuals conducting impact analyses possess the necessary skills and technical expertise to analyze the changes to systems as well as the security or privacy ramifications. Impact analyses include reviewing security and privacy plans, policies, and procedures to understand contr...",medium,functional,FedRAMP v5 Low CM-4 requires Analyze changes to the system to determine potential security and privacy impacts prior to change implementation. Guidance Organizational personnel with security or privacy resp.... OneLeet Controls DM.CPIA.V1 requires The organization must conduct privacy impact assessments (PIAs) for new processes being introduced to the data flow. Some example processes may be introducing a new plan for mar.... Both address risk management. FedRAMP v5 Low is narrower and fits within OneLeet Controls scope.,subset_of,6,Conduct Privacy Impact Assessments for New Processes,DM.CPIA.V1,"The organization must conduct privacy impact assessments (PIAs) for new processes being introduced to the data flow. Some example processes may be introducing a new plan for marketing emails, introducing a new payment processor, or introducing a new system for data analytics. This document should be approved by the privacy officer before action takes place.","Shared scope: risk management; governance and policy. FedRAMP v5 Low emphasizes analyses, analyze, change; OneLeet Controls additionally includes assessments, conduct, data."
CM-5,CM-05 - Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system. Guidance Changes to the hardware, software, or firmware components of systems or the operational procedures related to the system can potentially have significant effects on the security of the systems or individuals’ privacy. Therefore, organizations permit only qualified and authorized individuals to access systems for purposes of initiating changes. Access restrictions inc...",medium,functional,"FedRAMP v5 Low CM-5 requires Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system. Guidance Changes to the hardware, software, or firmware co.... OneLeet Controls AC.AC.V1 requires Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requireme.... Both address access control. The requirements are materially equivalent in scope and intent.",equal,9,Access control,AC.AC.V1,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,Shared scope: access control; audit and monitoring. No material divergence detected.
CM-6,CM-06 - Configuration Settings,"a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; b. Implement the configuration settings; c. Identify, document, and approve any deviations from established configuration settings for based on ; and d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures. Guidance Configuration settings are the paramete...",medium,functional,"FedRAMP v5 Low CM-6 requires a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using.... OneLeet Controls IS.CM.V1 requires Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.. Both address audit and monitoring. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Configuration management,IS.CM.V1,"Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.","Shared scope: audit and monitoring. FedRAMP v5 Low additionally includes cm-06, settings; OneLeet Controls emphasizes configurations, documented, established."
CM-7,CM-07 - Least Functionality,"a. Configure the system to provide only ; and b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: . Guidance Systems provide a wide variety of functions and services. Some of the functions and services routinely provided by default may not be necessary to support essential organizational missions, functions, or operations. Additionally, it is sometimes convenient to provide multiple services from a single system component, but doing so incr...",medium,functional,"FedRAMP v5 Low CM-7 requires a. Configure the system to provide only ; and b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: . Guidance Systems provide.... OneLeet Controls VM.PTP.V1 requires Penetration testing is conducted at least every 12 months to identify potential vulnerabilities in the organization's systems, applications, and infrastructure.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Penetration testing performed within the last 12 months,VM.PTP.V1,"Penetration testing is conducted at least every 12 months to identify potential vulnerabilities in the organization's systems, applications, and infrastructure.","Overlap: risk management; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes cm-07, configuration, functionality; OneLeet Controls emphasizes months, penetration, testing."
CM-8,CM-08 - System Component Inventory,a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: ; and b. Review and update the system component inventory . Guidance System components a...,medium,functional,FedRAMP v5 Low CM-8 requires a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate ac.... OneLeet Controls DM.SUNM.V1 requires Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system a.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,System use notification mechanisms established,DM.SUNM.V1,Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system accessing sensitive data.,"Shared scope: access control; incident response. FedRAMP v5 Low additionally includes cm-08, component, configuration; OneLeet Controls emphasizes data, notification, access."
CM-10,CM-10 - Software Usage Restrictions,"a. Use software and associated documentation in accordance with contract agreements and copyright laws; b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work. Guidance Software license tracking can be accomplished...",medium,functional,"FedRAMP v5 Low CM-10 requires a. Use software and associated documentation in accordance with contract agreements and copyright laws; b. Track the use of software and associated documentation protected by qu.... OneLeet Controls EP.USRO.V1 requires Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently based on risk level, to.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Unauthorized software on end-user devices addressed and removed,EP.USRO.V1,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently based on risk level, to ensure software compliance with the organizational policy.","Overlap: access control; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes cm-10, configuration, management; OneLeet Controls emphasizes removed, unauthorized, addressed."
CM-11,CM-11 - User-installed Software,"a. Establish governing the installation of software by users; b. Enforce software installation policies through the following methods: ; and c. Monitor policy compliance . Guidance If provided the necessary privileges, users can install software in organizational systems. To maintain control over the software installed, organizations identify permitted and prohibited actions regarding software installation. Permitted software installations include updates and security patches to existing soft...",medium,functional,"FedRAMP v5 Low CM-11 requires a. Establish governing the installation of software by users; b. Enforce software installation policies through the following methods: ; and c. Monitor policy compliance . Guida.... OneLeet Controls EP.USRO.V1 requires Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently based on risk level, to.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Unauthorized software on end-user devices addressed and removed,EP.USRO.V1,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently based on risk level, to ensure software compliance with the organizational policy.","Shared scope: access control; governance and policy; audit and monitoring. FedRAMP v5 Low additionally includes cm-11, configuration, management; OneLeet Controls emphasizes removed, unauthorized, addressed."
CP-1,CP-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. contingency planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls; b. Designate an to...",medium,functional,"FedRAMP v5 Low CP-1 requires a. Develop, document, and disseminate to : 1. contingency planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among.... OneLeet Controls OS.SPE.V1 requires Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sancti.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Sanction policy established,OS.SPE.V1,Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sanctions help enforce accountability and deter employees from engaging in misconduct.,"Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes contingency, cp-01, planning; OneLeet Controls emphasizes sanction, against, appropriate."
CP-2,CP-02 - Contingency Plan,"a. Develop a contingency plan for the system that: 1. Identifies essential mission and business functions and associated contingency requirements; 2. Provides recovery objectives, restoration priorities, and metrics; 3. Addresses contingency roles, responsibilities, assigned individuals with contact information; 4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure; 5. Addresses eventual, full system restoration without deteriora...",medium,functional,FedRAMP v5 Low CP-2 requires a. Develop a contingency plan for the system that: 1. Identifies essential mission and business functions and associated contingency requirements; 2. Provides recovery objective.... OneLeet Controls DR.CPT.V1 requires Regularly test your crisis plan to validate its effectiveness and ensure all team members are prepared to respond swiftly and efficiently to potential disruptions. Define a test.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Crisis plan tested,DR.CPT.V1,"Regularly test your crisis plan to validate its effectiveness and ensure all team members are prepared to respond swiftly and efficiently to potential disruptions. Define a testing schedule based on your organization’s risk profile and regulatory requirements. Conduct tests at least annually, or more frequently for high-risk scenarios, to promote ongoing preparedness.You can use a variety of testing methods, such as tabletop exercises, live simulations, and role-playing scenarios. Include all...","Shared scope: access control; incident response; risk management; audit and monitoring. FedRAMP v5 Low additionally includes contingency, cp-02, planning; OneLeet Controls emphasizes crisis, disaster, disruptions."
CP-3,CP-03 - Contingency Training,a. Provide contingency training to system users consistent with assigned roles and responsibilities: 1. Within of assuming a contingency role or responsibility; 2. When required by system changes; and 3. thereafter; and b. Review and update contingency training content and following . Guidance Contingency training provided by organizations is linked to the assigned roles and responsibilities of organizational personnel to ensure that the appropriate content and level of detail is included in...,medium,functional,FedRAMP v5 Low CP-3 requires a. Provide contingency training to system users consistent with assigned roles and responsibilities: 1. Within of assuming a contingency role or responsibility; 2. When required.... OneLeet Controls DM.RSPT.V1 requires This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Role-Specific Privacy Training,DM.RSPT.V1,"This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers the handling of personal information, consumer rights, and organizational policies for protecting data. Completion is tracked, and refresher sessions are provided periodically to maintain awareness and compliance across the workforce.","Shared scope: access control; governance and policy. FedRAMP v5 Low additionally includes contingency, cp-03, planning; OneLeet Controls emphasizes privacy, role-specific, ccpa."
CP-4,CP-04 - Contingency Plan Testing,"a. Test the contingency plan for the system using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: . b. Review the contingency plan test results; and c. Initiate corrective actions, if needed. Guidance Methods for testing contingency plans to determine the effectiveness of the plans and identify potential weaknesses include checklists, walk-through and tabletop exercises, simulations (parallel or full interrupt), and comprehensive exercises...",medium,functional,FedRAMP v5 Low CP-4 requires a. Test the contingency plan for the system using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: . b. Review the contingen.... OneLeet Controls DR.CPT.V1 requires Regularly test your crisis plan to validate its effectiveness and ensure all team members are prepared to respond swiftly and efficiently to potential disruptions. Define a test.... Both address incident response. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Crisis plan tested,DR.CPT.V1,"Regularly test your crisis plan to validate its effectiveness and ensure all team members are prepared to respond swiftly and efficiently to potential disruptions. Define a testing schedule based on your organization’s risk profile and regulatory requirements. Conduct tests at least annually, or more frequently for high-risk scenarios, to promote ongoing preparedness.You can use a variety of testing methods, such as tabletop exercises, live simulations, and role-playing scenarios. Include all...","Overlap: incident response; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes contingency, cp-04, planning; OneLeet Controls emphasizes crisis, disaster, disruptions."
CP-9,CP-09 - System Backup,"a. Conduct backups of user-level information contained in ; b. Conduct backups of system-level information contained in the system ; c. Conduct backups of system documentation, including security- and privacy-related documentation ; and d. Protect the confidentiality, integrity, and availability of backup information. Guidance System-level information includes system state information, operating system software, middleware, application software, and licenses. User-level information includes i...",medium,functional,"FedRAMP v5 Low CP-9 requires a. Conduct backups of user-level information contained in ; b. Conduct backups of system-level information contained in the system ; c. Conduct backups of system documentation,.... OneLeet Controls DM.IB.V1 requires Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.. Both address data protection. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Information backup,DM.IB.V1,"Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.","Shared scope: data protection. FedRAMP v5 Low additionally includes contingency, cp-09, planning; OneLeet Controls emphasizes accordance, agreed, copies."
CP-10,CP-10 - System Recovery and Reconstitution,"Provide for the recovery and reconstitution of the system to a known state within after a disruption, compromise, or failure. Guidance Recovery is executing contingency plan activities to restore organizational mission and business functions. Reconstitution takes place following recovery and includes activities for returning systems to fully operational states. Recovery and reconstitution operations reflect mission and business priorities; recovery point, recovery time, and reconstitution obj...",medium,functional,"FedRAMP v5 Low CP-10 requires Provide for the recovery and reconstitution of the system to a known state within after a disruption, compromise, or failure. Guidance Recovery is executing contingency plan act.... OneLeet Controls DR.DRPE.V1 requires Establish a data recovery plan that defines procedures for recovering data in case of data loss, corruption, or system failures. A robust data recovery plan helps minimize downt.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data recovery plan established,DR.DRPE.V1,"Establish a data recovery plan that defines procedures for recovering data in case of data loss, corruption, or system failures. A robust data recovery plan helps minimize downtime and data loss in critical situations.","Overlap: incident response; governance and policy. Divergence: FedRAMP v5 Low emphasizes reconstitution, after, compromise; OneLeet Controls emphasizes data, plan, case."
IA-1,IA-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. identification and authentication policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authe...",medium,functional,"FedRAMP v5 Low IA-1 requires a. Develop, document, and disseminate to : 1. identification and authentication policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordi.... OneLeet Controls ES.DPAV.V1 requires DMARC (Domain-based Message Authentication, Reporting, and Conformance) policy and verification mechanisms are implemented to prevent email spoofing and phishing attacks.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,DMARC policy and verification used,ES.DPAV.V1,"DMARC (Domain-based Message Authentication, Reporting, and Conformance) policy and verification mechanisms are implemented to prevent email spoofing and phishing attacks.","Overlap: access control; incident response; governance and policy. Divergence: FedRAMP v5 Low emphasizes ia-01, identification, procedures; OneLeet Controls emphasizes dmarc, email, verification."
IA-2(1),IA-02(01) - Multi-factor Authentication to Privileged Accounts,"Implement multi-factor authentication for access to privileged accounts. Guidance Multi-factor authentication requires the use of two or more different factors to achieve authentication. The authentication factors are defined as follows: something you know (e.g., a personal identification number [PIN]), something you have (e.g., a physical authenticator such as a cryptographic private key), or something you are (e.g., a biometric). Multi-factor authentication solutions that feature physical a...",medium,functional,FedRAMP v5 Low IA-2(1) requires Implement multi-factor authentication for access to privileged accounts. Guidance Multi-factor authentication requires the use of two or more different factors to achieve authen.... OneLeet Controls AC.SA.V1 requires Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure authentication,AC.SA.V1,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,"Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes accounts, multi-factor, privileged; OneLeet Controls emphasizes secure, authorization, based."
IA-2(2),IA-02(02) - Multi-factor Authentication to Non-privileged Accounts,"Implement multi-factor authentication for access to non-privileged accounts. Guidance Multi-factor authentication requires the use of two or more different factors to achieve authentication. The authentication factors are defined as follows: something you know (e.g., a personal identification number [PIN]), something you have (e.g., a physical authenticator such as a cryptographic private key), or something you are (e.g., a biometric). Multi-factor authentication solutions that feature physic...",medium,functional,"FedRAMP v5 Low IA-2(2) requires Implement multi-factor authentication for access to non-privileged accounts. Guidance Multi-factor authentication requires the use of two or more different factors to achieve au.... OneLeet Controls MI.TSAA.V1 requires Use transaction safeguards to prevent unauthorized use of IDs/passwords and detect and report attempted unauthorized use immediately to security and management, as appropriate.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Transaction security and authentication safeguarded,MI.TSAA.V1,"Use transaction safeguards to prevent unauthorized use of IDs/passwords and detect and report attempted unauthorized use immediately to security and management, as appropriate.","Overlap: access control; incident response. Divergence: FedRAMP v5 Low emphasizes accounts, multi-factor, non-privileged; OneLeet Controls emphasizes transaction, unauthorized, appropriate."
IA-2(8),IA-02(08) - Access to Accounts — Replay Resistant,Implement replay-resistant authentication mechanisms for access to . Guidance Authentication processes resist replay attacks if it is impractical to achieve successful authentications by replaying previous authentication messages. Replay-resistant techniques include protocols that use nonces or challenges such as time synchronous or cryptographic authenticators.,medium,functional,FedRAMP v5 Low IA-2(8) requires Implement replay-resistant authentication mechanisms for access to . Guidance Authentication processes resist replay attacks if it is impractical to achieve successful authentic.... OneLeet Controls AC.MRFA.V1 requires Require multi-factor authentication (MFA) for administrative access to critical systems and services. MFA mitigates the risk of unauthorized administrative access and helps prot.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,MFA required for administrative access,AC.MRFA.V1,Require multi-factor authentication (MFA) for administrative access to critical systems and services. MFA mitigates the risk of unauthorized administrative access and helps protect sensitive administrative functions.,"Overlap: access control; data protection. Divergence: FedRAMP v5 Low emphasizes accounts, ia-02, identification; OneLeet Controls emphasizes administrative, mfa, authorization."
IA-2(12),IA-02(12) - Acceptance of PIV Credentials,Accept and electronically verify Personal Identity Verification-compliant credentials. Guidance Acceptance of Personal Identity Verification (PIV)-compliant credentials applies to organizations implementing logical access control and physical access control systems. PIV-compliant credentials are those credentials issued by federal agencies that conform to FIPS Publication 201 and supporting guidance documents. The adequacy and reliability of PIV card issuers are authorized using SP 800-79-2 ....,medium,functional,"FedRAMP v5 Low IA-2(12) requires Accept and electronically verify Personal Identity Verification-compliant credentials. Guidance Acceptance of Personal Identity Verification (PIV)-compliant credentials applies.... OneLeet Controls DM.VOCI.V1 requires Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Verification of Consumer Identity,DM.VOCI.V1,"Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are processed only for legitimate requestors, protecting personal information from unauthorized disclosure. The process is documented, monitored, and updated as needed to maintain security and regulatory compliance.","Overlap: access control; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes credentials, accept, acceptance; OneLeet Controls emphasizes accordance, ccpa, consumer."
IA-2,IA-02 - Identification and Authentication (Organizational Users),"Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users. Guidance Organizations can satisfy the identification and authentication requirements by complying with the requirements in HSPD 12 . Organizational users include employees or individuals who organizations consider to have an equivalent status to employees (e.g., contractors and guest researchers). Unique identification and authentication of users ap...",medium,functional,FedRAMP v5 Low IA-2 requires Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users. Guidance Organizations can satis.... OneLeet Controls AC.UICM.V1 requires Manage IDs/passwords securely with lifecycle controls to prevent misuse.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Unique identification codes managed,AC.UICM.V1,Manage IDs/passwords securely with lifecycle controls to prevent misuse.,"Overlap: access control; incident response. Divergence: FedRAMP v5 Low emphasizes users, authentication, organizational; OneLeet Controls emphasizes access, authorization, codes."
IA-4,IA-04 - Identifier Management,"Manage system identifiers by: a. Receiving authorization from to assign an individual, group, role, service, or device identifier; b. Selecting an identifier that identifies an individual, group, role, service, or device; c. Assigning the identifier to the intended individual, group, role, service, or device; and d. Preventing reuse of identifiers for . Guidance Common device identifiers include Media Access Control (MAC) addresses, Internet Protocol (IP) addresses, or device-unique token ide...",medium,functional,"FedRAMP v5 Low IA-4 requires Manage system identifiers by: a. Receiving authorization from to assign an individual, group, role, service, or device identifier; b. Selecting an identifier that identifies an.... OneLeet Controls AC.PMPE.V1 requires Strictly enforce the organization’s password management policy to guarantee compliance with security standards. Enforcing this policy includes implementing technical controls, m.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Password management policy enforced,AC.PMPE.V1,"Strictly enforce the organization’s password management policy to guarantee compliance with security standards. Enforcing this policy includes implementing technical controls, monitoring adherence, and responding to non-compliance.","Overlap: access control; incident response. Divergence: FedRAMP v5 Low emphasizes authentication, ia-04, identification; OneLeet Controls emphasizes password, policy, access."
IA-5(1),IA-05(01) - Password-based Authentication,"For password-based authentication: (a) Maintain a list of commonly-used, expected, or compromised passwords and update the list and when organizational passwords are suspected to have been compromised directly or indirectly; (b) Verify, when users create or update passwords, that the passwords are not found on the list of commonly-used, expected, or compromised passwords in IA-5(1)(a); (c) Transmit passwords only over cryptographically-protected channels; (d) Store passwords using an approved...",medium,functional,"FedRAMP v5 Low IA-5(1) requires For password-based authentication: (a) Maintain a list of commonly-used, expected, or compromised passwords and update the list and when organizational passwords are suspected t.... OneLeet Controls AC.SA.V1 requires Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Secure authentication,AC.SA.V1,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,"Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes passwords, compromised, list; OneLeet Controls emphasizes access, secure, authorization."
IA-5,IA-05 - Authenticator Management,"Manage system authenticators by: a. Verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, service, or device receiving the authenticator; b. Establishing initial authenticator content for any authenticators issued by the organization; c. Ensuring that authenticators have sufficient strength of mechanism for their intended use; d. Establishing and implementing administrative procedures for initial authenticator distribution, for lost or comp...",medium,functional,"FedRAMP v5 Low IA-5 requires Manage system authenticators by: a. Verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, service, or device receiving the a.... OneLeet Controls RM.VMPE.V1 requires A vendor management policy is established to assess, monitor, and manage the risks associated with third-party vendors, ensuring that external partners meet security and complia.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Vendor management policy established,RM.VMPE.V1,"A vendor management policy is established to assess, monitor, and manage the risks associated with third-party vendors, ensuring that external partners meet security and compliance standards.","Overlap: risk management; governance and policy. Divergence: FedRAMP v5 Low emphasizes authentication, authenticator, authenticators; OneLeet Controls emphasizes established, policy, vendor."
IA-6,IA-06 - Authentication Feedback,"Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals. Guidance Authentication feedback from systems does not provide information that would allow unauthorized individuals to compromise authentication mechanisms. For some types of systems, such as desktops or notebooks with relatively large monitors, the threat (referred to as shoulder surfing) may be significant. For other typ...",medium,functional,FedRAMP v5 Low IA-6 requires Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals. Guida.... OneLeet Controls AC.SA.V1 requires Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure authentication,AC.SA.V1,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,"Shared scope: access control; governance and policy; audit and monitoring. FedRAMP v5 Low additionally includes feedback, exploitation, ia-06; OneLeet Controls emphasizes access, secure, authorization."
IA-7,IA-07 - Cryptographic Module Authentication,"Implement mechanisms for authentication to a cryptographic module that meet the requirements of applicable laws, executive orders, directives, policies, regulations, standards, and guidelines for such authentication. Guidance Authentication mechanisms may be required within a cryptographic module to authenticate an operator accessing the module and to verify that the operator is authorized to assume the requested role and perform services within that role.",medium,functional,"FedRAMP v5 Low IA-7 requires Implement mechanisms for authentication to a cryptographic module that meet the requirements of applicable laws, executive orders, directives, policies, regulations, standards,.... OneLeet Controls DM.CKLM.V1 requires Develop and document detailed key management policies and procedures covering the entire key lifecycle, including:- Implement secure key generation processes using strong crypto.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Cryptographic key lifecycle managed,DM.CKLM.V1,"Develop and document detailed key management policies and procedures covering the entire key lifecycle, including:- Implement secure key generation processes using strong cryptographic algorithms.- Establish secure methods for key distribution and storage.- Define and enforce key usage policies, including access controls and key rotation schedules.- Implement processes for secure key backup and recovery.- Establish procedures for key revocation, replacement, and destruction when necessary.- I...","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes authentication, module, applicable; OneLeet Controls emphasizes key, lifecycle, management."
