FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
AU-11,AU-11 - Audit Record Retention,Retain audit records for to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,high,semantic,StateRAMP Rev5 Moderate AU-11 requires Retain audit records for to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.. NIST 800-82 r3 Moderate AU-11 requires Retain audit records for to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.. Both address OT cybersecurity safeguards.,subset_of,7,AU-11 - Audit Record Retention,AU-11,Retain audit records for to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,Auto-mapped via ID-first + lexical scoring (score=0.775). Reclassified to subset_of (equal>50% safeguard).
AU-12,AU-12 - Audit Record Generation,Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on ; b.,high,semantic,StateRAMP Rev5 Moderate AU-12 requires Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on ; b.. NIST 800-82 r3 Moderate AU-12 requires Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on ; b.. Both address OT cybersecurity safeguards.,equal,10,AU-12 - Audit Record Generation,AU-12,Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on ; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CA-1,CA-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate CA-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate CA-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,CA-01 - Policy and Procedures,CA-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
CA-2,CA-02 - Control Assessments,Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.,high,semantic,StateRAMP Rev5 Moderate CA-2 requires Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.. NIST 800-82 r3 Moderate CA-2 requires Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.. Both address OT cybersecurity safeguards.,subset_of,7,CA-02 - Control Assessments,CA-2,Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.,Auto-mapped via ID-first + lexical scoring (score=0.848). Reclassified to subset_of (equal>50% safeguard).
CA-2(1),CA-02(01) - Independent Assessors,Employ independent assessors or assessment teams to conduct control assessments.,high,semantic,StateRAMP Rev5 Moderate CA-2(1) requires Employ independent assessors or assessment teams to conduct control assessments.. NIST 800-82 r3 Moderate CA-2(1) requires Employ independent assessors or assessment teams to conduct control assessments.. Both address OT cybersecurity safeguards.,equal,10,CA-02(01) - Independent Assessors,CA-2(1),Employ independent assessors or assessment teams to conduct control assessments.,Auto-mapped via ID-first + lexical scoring (score=0.934).
CA-2(3),CA-02(03) - Leveraging Results from External Organizations,Leverage the results of control assessments performed by on when the assessment meets .,medium,functional,"StateRAMP Rev5 Moderate CA-2(3) requires Leverage the results of control assessments performed by on when the assessment meets .. NIST 800-82 r3 Moderate CA-2 requires Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,CA-02 - Control Assessments,CA-2,Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.,Auto-mapped via ID-first + lexical scoring (score=0.330).
CA-3,CA-03 - Information Exchange,Approve and manage the exchange of information between the system and other systems using ; b.,high,semantic,StateRAMP Rev5 Moderate CA-3 requires Approve and manage the exchange of information between the system and other systems using ; b.. NIST 800-82 r3 Moderate CA-3 requires Approve and manage the exchange of information between the system and other systems using ; b.. Both address OT cybersecurity safeguards.,subset_of,7,CA-03 - Information Exchange,CA-3,Approve and manage the exchange of information between the system and other systems using ; b.,Auto-mapped via ID-first + lexical scoring (score=0.800). Reclassified to subset_of (equal>50% safeguard).
CA-5,CA-05 - Plan of Action and Milestones,Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and b.,high,semantic,StateRAMP Rev5 Moderate CA-5 requires Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and b.. NIST 800-82 r3 Moderate CA-5 requires Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and b.. Both address OT cybersecurity safeguards.,subset_of,7,CA-05 - Plan of Action and Milestones,CA-5,Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and b.,Auto-mapped via ID-first + lexical scoring (score=0.649). Reclassified to subset_of (equal>50% safeguard).
CA-6,CA-06 - Authorization,Assign a senior official as the authorizing official for the system; b.,high,semantic,StateRAMP Rev5 Moderate CA-6 requires Assign a senior official as the authorizing official for the system; b.. NIST 800-82 r3 Moderate CA-6 requires Assign a senior official as the authorizing official for the system; b.. Both address OT cybersecurity safeguards.,subset_of,7,CA-06 - Authorization,CA-6,Assign a senior official as the authorizing official for the system; b.,Auto-mapped via ID-first + lexical scoring (score=0.794). Reclassified to subset_of (equal>50% safeguard).
CA-7,CA-07 - Continuous Monitoring,Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes: a.,high,semantic,StateRAMP Rev5 Moderate CA-7 requires Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes: a.. NIST 800-82 r3 Moderate CA-7 requires Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes: a.. Both address OT cybersecurity safeguards.,subset_of,7,CA-07 - Continuous Monitoring,CA-7,Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes: a.,Auto-mapped via ID-first + lexical scoring (score=0.661). Reclassified to subset_of (equal>50% safeguard).
CA-7(1),CA-07(01) - Independent Assessment,Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.,high,semantic,StateRAMP Rev5 Moderate CA-7(1) requires Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.. NIST 800-82 r3 Moderate CA-7(1) requires Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.. Both address OT cybersecurity safeguards.,equal,10,CA-07(01) - Independent Assessment,CA-7(1),Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CA-7(4),CA-07(04) - Risk Monitoring,Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following: (a) Effectiveness monitoring; (b) Compliance monitoring; and (c) Change monitoring.,high,semantic,StateRAMP Rev5 Moderate CA-7(4) requires Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following: (a) Effectiveness monitoring; (b) Compliance monitoring; and (c) Change monitoring.. NIST 800-82 r3 Moderate CA-7(4) requires Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following: (a) Effectiveness monitoring; (b) Compliance monitoring; and (c) Change monitoring.. Both address OT cybersecurity safeguards.,equal,10,CA-07(04) - Risk Monitoring,CA-7(4),Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following: (a) Effectiveness monitoring; (b) Compliance monitoring; and (c) Change monitoring.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CA-8,CA-08 - Penetration Testing,Discussion Penetration testing is a specialized type of assessment conducted on systems or individual system components to identify vulnerabilities that could be exploited by adversaries.,medium,functional,"StateRAMP Rev5 Moderate CA-8 requires Discussion Penetration testing is a specialized type of assessment conducted on systems or individual system components to identify vulnerabilities that could be exploited by adversaries.. NIST 800-82 r3 Moderate CA-2 requires Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,CA-02 - Control Assessments,CA-2,Select the appropriate assessor or assessment team for the type of assessment to be conducted; b.,Auto-mapped via ID-first + lexical scoring (score=0.311).
CA-8(1),CA-08(01) - Independent Penetration Testing Agent or Team,Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.,medium,functional,"StateRAMP Rev5 Moderate CA-8(1) requires Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.. NIST 800-82 r3 Moderate CA-2(1) requires Employ independent assessors or assessment teams to conduct control assessments.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,CA-02(01) - Independent Assessors,CA-2(1),Employ independent assessors or assessment teams to conduct control assessments.,Auto-mapped via ID-first + lexical scoring (score=0.331).
CA-9,CA-09 - Internal System Connections,Authorize internal connections of to the system; b.,high,semantic,StateRAMP Rev5 Moderate CA-9 requires Authorize internal connections of to the system; b.. NIST 800-82 r3 Moderate CA-9 requires Authorize internal connections of to the system; b.. Both address OT cybersecurity safeguards.,subset_of,7,CA-09 - Internal System Connections,CA-9,Authorize internal connections of to the system; b.,Auto-mapped via ID-first + lexical scoring (score=0.695). Reclassified to subset_of (equal>50% safeguard).
CM-1,CM-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate CM-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate CM-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,CM-01 - Policy and Procedures,CM-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
CM-2,CM-02 - Baseline Configuration,"Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b.",high,semantic,"StateRAMP Rev5 Moderate CM-2 requires Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b.. NIST 800-82 r3 Moderate CM-2 requires Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b.. Both address OT cybersecurity safeguards.",subset_of,7,CM-02 - Baseline Configuration,CM-2,"Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b.",Auto-mapped via ID-first + lexical scoring (score=0.833). Reclassified to subset_of (equal>50% safeguard).
CM-2(2),CM-02(02) - Automation Support for Accuracy and Currency,"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using .",high,semantic,"StateRAMP Rev5 Moderate CM-2(2) requires Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using .. NIST 800-82 r3 Moderate CM-2(2) requires Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using .. Both address OT cybersecurity safeguards.",equal,10,CM-02(02) - Automation Support for Accuracy and Currency,CM-2(2),"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using .",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-2(3),CM-02(03) - Retention of Previous Configurations,Retain of previous versions of baseline configurations of the system to support rollback.,high,semantic,StateRAMP Rev5 Moderate CM-2(3) requires Retain of previous versions of baseline configurations of the system to support rollback.. NIST 800-82 r3 Moderate CM-2(3) requires Retain of previous versions of baseline configurations of the system to support rollback.. Both address OT cybersecurity safeguards.,equal,10,CM-02(03) - Retention of Previous Configurations,CM-2(3),Retain of previous versions of baseline configurations of the system to support rollback.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-2(7),CM-02(07) - Configure Systems and Components for High-risk Areas,(a) Issue with to individuals traveling to locations that the organization deems to be of significant risk; and (b) Apply the following controls to the systems or components when the individuals return from travel: .,high,semantic,StateRAMP Rev5 Moderate CM-2(7) requires (a) Issue with to individuals traveling to locations that the organization deems to be of significant risk; and (b) Apply the following controls to the systems or components when the individuals return from travel: .. NIST 800-82 r3 Moderate CM-2(7) requires (a) Issue with to individuals traveling to locations that the organization deems to be of significant risk; and (b) Apply the following controls to the systems or components when the individuals return from travel: .. Both address OT cybersecurity safeguards.,equal,10,CM-02(07) - Configure Systems and Components for High-risk Areas,CM-2(7),(a) Issue with to individuals traveling to locations that the organization deems to be of significant risk; and (b) Apply the following controls to the systems or components when the individuals return from travel: .,Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-3,CM-03 - Configuration Change Control,Determine and document the types of changes to the system that are configuration-controlled; b.,high,semantic,StateRAMP Rev5 Moderate CM-3 requires Determine and document the types of changes to the system that are configuration-controlled; b.. NIST 800-82 r3 Moderate CM-3 requires Determine and document the types of changes to the system that are configuration-controlled; b.. Both address OT cybersecurity safeguards.,subset_of,7,CM-03 - Configuration Change Control,CM-3,Determine and document the types of changes to the system that are configuration-controlled; b.,Auto-mapped via ID-first + lexical scoring (score=0.681). Reclassified to subset_of (equal>50% safeguard).
CM-3(2),"CM-03(02) - Testing, Validation, and Documentation of Changes","Test, validate, and document changes to the system before finalizing the implementation of the changes.",high,semantic,"StateRAMP Rev5 Moderate CM-3(2) requires Test, validate, and document changes to the system before finalizing the implementation of the changes.. NIST 800-82 r3 Moderate CM-3(2) requires Test, validate, and document changes to the system before finalizing the implementation of the changes.. Both address OT cybersecurity safeguards.",equal,10,"CM-03(02) - Testing, Validation, and Documentation of Changes",CM-3(2),"Test, validate, and document changes to the system before finalizing the implementation of the changes.",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-3(4),CM-03(04) - Security and Privacy Representatives,"Discussion Information security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers.",high,semantic,"StateRAMP Rev5 Moderate CM-3(4) requires Discussion Information security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers.. NIST 800-82 r3 Moderate CM-3(4) requires Discussion Information security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers.. Both address OT cybersecurity safeguards.",equal,10,CM-03(04) - Security and Privacy Representatives,CM-3(4),"Discussion Information security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers.",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-4,CM-04 - Impact Analyses,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,high,semantic,StateRAMP Rev5 Moderate CM-4 requires Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.. NIST 800-82 r3 Moderate CM-4 requires Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.. Both address OT cybersecurity safeguards.,subset_of,7,CM-04 - Impact Analyses,CM-4,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,Auto-mapped via ID-first + lexical scoring (score=0.900). Reclassified to subset_of (equal>50% safeguard).
CM-4(2),CM-04(02) - Verification of Controls,"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.",high,semantic,"StateRAMP Rev5 Moderate CM-4(2) requires After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.. NIST 800-82 r3 Moderate CM-4(2) requires After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.. Both address OT cybersecurity safeguards.",equal,10,CM-04(02) - Verification of Controls,CM-4(2),"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-5,CM-05 - Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",high,semantic,"StateRAMP Rev5 Moderate CM-5 requires Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.. NIST 800-82 r3 Moderate CM-5 requires Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.. Both address OT cybersecurity safeguards.",subset_of,7,CM-05 - Access Restrictions for Change,CM-5,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",Auto-mapped via ID-first + lexical scoring (score=0.709). Reclassified to subset_of (equal>50% safeguard).
CM-5(1),CM-05(01) - Automated Access Enforcement and Audit Records,(a) Enforce access restrictions using ; and (b) Automatically generate audit records of the enforcement actions.,medium,functional,"StateRAMP Rev5 Moderate CM-5(1) requires (a) Enforce access restrictions using ; and (b) Automatically generate audit records of the enforcement actions.. NIST 800-82 r3 Moderate CM-5 requires Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,CM-05 - Access Restrictions for Change,CM-5,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",Auto-mapped via ID-first + lexical scoring (score=0.348).
CM-5(5),CM-05(05) - Privilege Limitation for Production and Operation,(a) Limit privileges to change system components and system-related information within a production or operational environment; and (b) Review and reevaluate privileges .,medium,functional,"StateRAMP Rev5 Moderate CM-5(5) requires (a) Limit privileges to change system components and system-related information within a production or operational environment; and (b) Review and reevaluate privileges .. NIST 800-82 r3 Moderate CM-5 requires Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,CM-05 - Access Restrictions for Change,CM-5,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",Auto-mapped via ID-first + lexical scoring (score=0.346).
CM-6,CM-06 - Configuration Settings,Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; b.,high,semantic,StateRAMP Rev5 Moderate CM-6 requires Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; b.. NIST 800-82 r3 Moderate CM-6 requires Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; b.. Both address OT cybersecurity safeguards.,subset_of,7,CM-06 - Configuration Settings,CM-6,Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using ; b.,Auto-mapped via ID-first + lexical scoring (score=0.646). Reclassified to subset_of (equal>50% safeguard).
CM-6(1),"CM-06(01) - Automated Management, Application, and Verification","Manage, apply, and verify configuration settings for using .",medium,functional,"StateRAMP Rev5 Moderate CM-6(1) requires Manage, apply, and verify configuration settings for using .. NIST 800-82 r3 Moderate CM-12(1) requires Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,CM-12(01) - Automated Tools to Support Information Location,CM-12(1),Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy.,Auto-mapped via ID-first + lexical scoring (score=0.353).
CM-7,CM-07 - Least Functionality,Configure the system to provide only ; and b.,high,semantic,StateRAMP Rev5 Moderate CM-7 requires Configure the system to provide only ; and b.. NIST 800-82 r3 Moderate CM-7 requires Configure the system to provide only ; and b.. Both address OT cybersecurity safeguards.,subset_of,7,CM-07 - Least Functionality,CM-7,Configure the system to provide only ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.649). Reclassified to subset_of (equal>50% safeguard).
CM-7(1),CM-07(01) - Periodic Review,"(a) Review the system to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove .",high,semantic,"StateRAMP Rev5 Moderate CM-7(1) requires (a) Review the system to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove .. NIST 800-82 r3 Moderate CM-7(1) requires (a) Review the system to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove .. Both address OT cybersecurity safeguards.",equal,10,CM-07(01) - Periodic Review,CM-7(1),"(a) Review the system to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove .",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-7(2),CM-07(02) - Prevent Program Execution,Prevent program execution in accordance with .,high,semantic,StateRAMP Rev5 Moderate CM-7(2) requires Prevent program execution in accordance with .. NIST 800-82 r3 Moderate CM-7(2) requires Prevent program execution in accordance with .. Both address OT cybersecurity safeguards.,subset_of,7,CM-07(02) - Prevent Program Execution,CM-7(2),Prevent program execution in accordance with .,Auto-mapped via ID-first + lexical scoring (score=0.614). Reclassified to subset_of (equal>50% safeguard).
CM-7(5),CM-07(05) - Authorized Software — Allow-by-exception,"(a) Identify ; (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and (c) Review and update the list of authorized software programs .",high,semantic,"StateRAMP Rev5 Moderate CM-7(5) requires (a) Identify ; (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and (c) Review and update the list of authorized software programs .. NIST 800-82 r3 Moderate CM-7(5) requires (a) Identify ; (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and (c) Review and update the list of authorized software programs .. Both address OT cybersecurity safeguards.",subset_of,7,CM-07(05) - Authorized Software â€” Allow-by-exception,CM-7(5),"(a) Identify ; (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and (c) Review and update the list of authorized software programs .",Auto-mapped via ID-first + lexical scoring (score=0.894). Reclassified to subset_of (equal>50% safeguard).
CM-8,CM-08 - System Component Inventory,Develop and document an inventory of system components that: 1.,high,semantic,StateRAMP Rev5 Moderate CM-8 requires Develop and document an inventory of system components that: 1.. NIST 800-82 r3 Moderate CM-8 requires Develop and document an inventory of system components that: 1.. Both address OT cybersecurity safeguards.,equal,10,CM-08 - System Component Inventory,CM-8,Develop and document an inventory of system components that: 1.,Auto-mapped via ID-first + lexical scoring (score=0.919).
CM-8(1),CM-08(01) - Updates During Installation and Removal,"Update the inventory of system components as part of component installations, removals, and system updates.",high,semantic,"StateRAMP Rev5 Moderate CM-8(1) requires Update the inventory of system components as part of component installations, removals, and system updates.. NIST 800-82 r3 Moderate CM-8(1) requires Update the inventory of system components as part of component installations, removals, and system updates.. Both address OT cybersecurity safeguards.",equal,10,CM-08(01) - Updates During Installation and Removal,CM-8(1),"Update the inventory of system components as part of component installations, removals, and system updates.",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-8(3),CM-08(03) - Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using ; and (b) Take the following actions when unauthorized components are detected: .",high,semantic,"StateRAMP Rev5 Moderate CM-8(3) requires (a) Detect the presence of unauthorized hardware, software, and firmware components within the system using ; and (b) Take the following actions when unauthorized components are detected: .. NIST 800-82 r3 Moderate CM-8(3) requires (a) Detect the presence of unauthorized hardware, software, and firmware components within the system using ; and (b) Take the following actions when unauthorized components are detected: .. Both address OT cybersecurity safeguards.",equal,10,CM-08(03) - Automated Unauthorized Component Detection,CM-8(3),"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using ; and (b) Take the following actions when unauthorized components are detected: .",Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-9,CM-09 - Configuration Management Plan,"Develop, document, and implement a configuration management plan for the system that: a.",high,semantic,"StateRAMP Rev5 Moderate CM-9 requires Develop, document, and implement a configuration management plan for the system that: a.. NIST 800-82 r3 Moderate CM-9 requires Develop, document, and implement a configuration management plan for the system that: a.. Both address OT cybersecurity safeguards.",subset_of,7,CM-09 - Configuration Management Plan,CM-9,"Develop, document, and implement a configuration management plan for the system that: a.",Auto-mapped via ID-first + lexical scoring (score=0.800). Reclassified to subset_of (equal>50% safeguard).
CM-10,CM-10 - Software Usage Restrictions,Use software and associated documentation in accordance with contract agreements and copyright laws; b.,high,semantic,StateRAMP Rev5 Moderate CM-10 requires Use software and associated documentation in accordance with contract agreements and copyright laws; b.. NIST 800-82 r3 Moderate CM-10 requires Use software and associated documentation in accordance with contract agreements and copyright laws; b.. Both address OT cybersecurity safeguards.,equal,10,CM-10 - Software Usage Restrictions,CM-10,Use software and associated documentation in accordance with contract agreements and copyright laws; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-11,CM-11 - User-installed Software,Establish governing the installation of software by users; b.,high,semantic,StateRAMP Rev5 Moderate CM-11 requires Establish governing the installation of software by users; b.. NIST 800-82 r3 Moderate CM-11 requires Establish governing the installation of software by users; b.. Both address OT cybersecurity safeguards.,equal,10,CM-11 - User-installed Software,CM-11,Establish governing the installation of software by users; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CM-12,CM-12 - Information Location,Identify and document the location of and the specific system components on which the information is processed and stored; b.,high,semantic,StateRAMP Rev5 Moderate CM-12 requires Identify and document the location of and the specific system components on which the information is processed and stored; b.. NIST 800-82 r3 Moderate CM-12 requires Identify and document the location of and the specific system components on which the information is processed and stored; b.. Both address OT cybersecurity safeguards.,subset_of,7,CM-12 - Information Location,CM-12,Identify and document the location of and the specific system components on which the information is processed and stored; b.,Auto-mapped via ID-first + lexical scoring (score=0.639). Reclassified to subset_of (equal>50% safeguard).
CM-12(1),CM-12(01) - Automated Tools to Support Information Location,Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy.,high,semantic,StateRAMP Rev5 Moderate CM-12(1) requires Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy.. NIST 800-82 r3 Moderate CM-12(1) requires Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy.. Both address OT cybersecurity safeguards.,subset_of,7,CM-12(01) - Automated Tools to Support Information Location,CM-12(1),Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy.,Auto-mapped via ID-first + lexical scoring (score=0.830). Reclassified to subset_of (equal>50% safeguard).
CP-1,CP-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate CP-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate CP-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,CP-01 - Policy and Procedures,CP-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
CP-2,CP-02 - Contingency Plan,Develop a contingency plan for the system that: 1.,high,semantic,StateRAMP Rev5 Moderate CP-2 requires Develop a contingency plan for the system that: 1.. NIST 800-82 r3 Moderate CP-2 requires Develop a contingency plan for the system that: 1.. Both address OT cybersecurity safeguards.,subset_of,7,CP-02 - Contingency Plan,CP-2,Develop a contingency plan for the system that: 1.,Auto-mapped via ID-first + lexical scoring (score=0.755). Reclassified to subset_of (equal>50% safeguard).
CP-2(1),CP-02(01) - Coordinate with Related Plans,Coordinate contingency plan development with organizational elements responsible for related plans.,high,semantic,StateRAMP Rev5 Moderate CP-2(1) requires Coordinate contingency plan development with organizational elements responsible for related plans.. NIST 800-82 r3 Moderate CP-2(1) requires Coordinate contingency plan development with organizational elements responsible for related plans.. Both address OT cybersecurity safeguards.,equal,10,CP-02(01) - Coordinate with Related Plans,CP-2(1),Coordinate contingency plan development with organizational elements responsible for related plans.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CP-2(3),CP-02(03) - Resume Mission and Business Functions,Plan for the resumption of mission and business functions within of contingency plan activation.,high,semantic,StateRAMP Rev5 Moderate CP-2(3) requires Plan for the resumption of mission and business functions within of contingency plan activation.. NIST 800-82 r3 Moderate CP-2(3) requires Plan for the resumption of mission and business functions within of contingency plan activation.. Both address OT cybersecurity safeguards.,equal,10,CP-02(03) - Resume Mission and Business Functions,CP-2(3),Plan for the resumption of mission and business functions within of contingency plan activation.,Auto-mapped via ID-first + lexical scoring (score=1.000).
CP-2(8),CP-02(08) - Identify Critical Assets,Identify critical system assets supporting mission and business functions.,high,semantic,StateRAMP Rev5 Moderate CP-2(8) requires Identify critical system assets supporting mission and business functions.. NIST 800-82 r3 Moderate CP-2(8) requires Identify critical system assets supporting mission and business functions.. Both address OT cybersecurity safeguards.,equal,10,CP-02(08) - Identify Critical Assets,CP-2(8),Identify critical system assets supporting mission and business functions.,Auto-mapped via ID-first + lexical scoring (score=1.000).
