NIST IR 8477-Based Set Theory Relationship Mapping (STRM),,,,,,Focal Document:,HIPAA,,,,
Target Document:,CJIS Security Policy,,,,,Focal Document URL:,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/index.html,,,,
164.308(a)(6)(ii),Response and Reporting,Identify and respond to suspected or known security incidents; mitigate harmful effects; document incidents and outcomes.,high,semantic,"HIPAA 164.308(a)(6)(ii) requires documenting security incidents. CJIS 5.3.IR-5 requires tracking and documenting incidents. Both require maintaining records of security incidents.",equal,10,5.3.IR-5 Incident Monitoring,5.3.IR-5,Track and document incidents; maintain records about each incident the status of the incident and other pertinent information necessary for forensics as well as evaluating incident details trends and handling.,"Both require documentation of security incidents including status and outcomes. HIPAA specifies documenting outcomes; CJIS specifies maintaining forensic records."
164.308(a)(6)(ii),Response and Reporting,Identify and respond to suspected or known security incidents; mitigate harmful effects; document incidents and outcomes.,high,semantic,"HIPAA 164.308(a)(6)(ii) requires reporting of security incidents. CJIS 5.3.IR-6 requires reporting suspected incidents within one hour of discovery. Both require timely reporting of security incidents to appropriate personnel.",intersects_with,4,5.3.IR-6 Incident Reporting,5.3.IR-6,Require personnel to report suspected incidents to the organizational incident response capability immediately but not to exceed one hour after discovery; report incident information to organizational personnel with incident handling responsibilities.,"HIPAA requires reporting and mitigation of incidents; CJIS specifies a one-hour reporting timeframe. Both require timely incident reporting. HIPAA additionally requires mitigation of harmful effects; CJIS additionally specifies notification to the CSO."
164.308(a)(7)(i),Contingency Plan,Establish policies and procedures for responding to emergencies or other occurrences that damage systems containing ePHI.,high,semantic,"HIPAA 164.308(a)(7)(i) requires policies and procedures for responding to emergencies or occurrences that damage ePHI systems. CJIS 5.18.CP-1 requires development of agency-level contingency planning policy and procedures. Both require formal contingency planning policies and procedures.",equal,10,5.18.CP-1 Policy And Procedures,5.18.CP-1,Develop document and disseminate organizational personnel with contingency planning responsibilities agency-level contingency planning policy and procedures addressing purpose scope roles responsibilities management commitment and compliance.,"Both require documented contingency planning policies and procedures for responding to system disruptions. HIPAA focuses on ePHI system protection; CJIS provides broader contingency planning requirements."
164.308(a)(7)(i),Contingency Plan,Establish policies and procedures for responding to emergencies or other occurrences that damage systems containing ePHI.,high,semantic,"HIPAA 164.308(a)(7)(i) requires contingency planning. CJIS 5.18.CP-2 requires development of a comprehensive contingency plan addressing essential functions, recovery objectives, and restoration. Both require formal contingency plans.",intersects_with,4,5.18.CP-2 Contingency Plan,5.18.CP-2,Develop a contingency plan for the system that identifies essential mission and business functions provides recovery objectives and restoration priorities addresses contingency roles and responsibilities and addresses maintaining essential functions despite disruption.,"HIPAA requires contingency policies and procedures for emergency response; CJIS requires a detailed contingency plan with recovery objectives. HIPAA covers emergency and disaster scenarios; CJIS provides more prescriptive plan content requirements."
164.308(a)(7)(ii)(A),Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.,high,semantic,"HIPAA 164.308(a)(7)(ii)(A) requires procedures to create and maintain retrievable exact copies of ePHI. CJIS 5.18.CP-9 requires conducting backups of user-level and system-level information and protecting the CIA of backup information. Both require systematic backup procedures for sensitive information.",equal,10,5.18.CP-9 System Backup,5.18.CP-9,Conduct backups of user-level information system-level information and system documentation contained in operational systems as required by the contingency plans; protect the confidentiality integrity and availability of backup information.,"Both require creating and maintaining backup copies of sensitive information systems. HIPAA specifies exact retrievable copies of ePHI; CJIS specifies backup of user-level and system-level information with CIA protection."
164.308(a)(7)(ii)(A),Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.,high,semantic,"HIPAA 164.308(a)(7)(ii)(A) requires backup procedures. CJIS 5.18.CP-9(1) requires testing backup information to verify media reliability and information integrity. Both address maintaining reliable backups.",intersects_with,4,5.18.CP-9(1) System Backup | Testing For Reliability And Integrity,5.18.CP-9(1),Test backup information as required by the contingency plans to verify media reliability and information integrity.,"HIPAA requires creating and maintaining backups; CJIS additionally requires testing backup reliability. CJIS provides more specific quality assurance requirements for backups."
164.308(a)(7)(ii)(B),Disaster Recovery Plan,Establish and implement procedures to restore loss of data.,high,semantic,"HIPAA 164.308(a)(7)(ii)(B) requires procedures for restoring lost data. CJIS 5.18.CP-10 requires provision for recovery and reconstitution of the system to a known state after disruption. Both require formal data and system recovery procedures.",equal,10,5.18.CP-10 System Recovery And Reconstitution,5.18.CP-10,Provide for the recovery and reconstitution of the system to a known state within the timeframe as required by the contingency plans after a disruption compromise or failure.,"Both require procedures for restoring systems and data after loss or disruption. HIPAA specifies data restoration; CJIS covers full system recovery and reconstitution to a known state."
164.308(a)(7)(ii)(B),Disaster Recovery Plan,Establish and implement procedures to restore loss of data.,high,semantic,"HIPAA 164.308(a)(7)(ii)(B) requires data recovery procedures. CJIS 5.18.CP-7 requires establishing an alternate processing site to enable transfer and resumption of operations. Both address disaster recovery capabilities.",intersects_with,4,5.18.CP-7 Alternate Processing Site,5.18.CP-7,Establish an alternate processing site including necessary agreements to permit the transfer and resumption of operations for essential mission and business functions within the time period specified in the contingency plan when the primary site is unavailable.,"HIPAA focuses on data restoration procedures; CJIS additionally covers alternate processing sites. HIPAA is procedural; CJIS provides infrastructure requirements for disaster recovery."
164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,Establish and implement procedures to enable continuation of critical business processes while operating in emergency mode.,high,semantic,"HIPAA 164.308(a)(7)(ii)(C) requires procedures for continuing critical business processes while operating in emergency mode. CJIS 5.18.CP-2(3) requires planning for resumption of essential mission and business functions within 24 hours of contingency plan activation. Both require business continuity planning for emergency operations.",equal,10,5.18.CP-2(3) Contingency Plan | Resume Mission And Business Functions,5.18.CP-2(3),Plan for the resumption of essential mission and business functions within twenty-four hours of contingency plan activation.,Both require planning to maintain or quickly resume critical business functions during emergency operations. HIPAA covers ePHI protection during emergency mode; CJIS specifies a 24-hour recovery time objective.
164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,Establish and implement procedures to enable continuation of critical business processes while operating in emergency mode.,high,semantic,"HIPAA 164.308(a)(7)(ii)(C) requires emergency mode operation plans. CJIS 5.18.CP-8 requires establishing alternate telecommunications services for resumption during primary capability unavailability. Both address maintaining operations during emergencies.",intersects_with,4,5.18.CP-8 Telecommunications Services,5.18.CP-8,Establish alternate telecommunications services including necessary agreements to permit the resumption of system operations for essential mission and business functions within the time period defined in the system contingency plans when primary telecommunications capabilities are unavailable.,"HIPAA covers continuation of critical business processes during emergencies; CJIS covers telecommunications continuity specifically. HIPAA is broader; CJIS addresses a specific critical infrastructure component."
164.308(a)(7)(ii)(D),Testing and Revision Procedures,Implement procedures for periodic testing and revision of contingency plans.,high,semantic,"HIPAA 164.308(a)(7)(ii)(D) requires periodic testing and revision of contingency plans. CJIS 5.18.CP-4 requires testing the contingency plan annually and initiating corrective actions based on results. Both require regular testing and updating of contingency plans.",equal,10,5.18.CP-4 Contingency Plan Testing,5.18.CP-4,Test the contingency plan for the system annually using checklists walk-through and tabletop exercises or simulations to determine the effectiveness of the plan; review test results; initiate corrective actions if needed.,"Both require periodic testing of contingency plans and updating them based on test results. HIPAA requires testing and revision; CJIS specifies annual testing with defined test methods."
164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,Assess the relative criticality of specific applications and data in support of contingency plan components.,high,semantic,"HIPAA 164.308(a)(7)(ii)(E) requires assessment of the relative criticality of specific applications and data for contingency planning. CJIS 5.18.CP-2(8) requires identifying critical system assets supporting essential mission and business functions. Both require analysis and prioritization of critical systems and data for continuity purposes.",equal,10,5.18.CP-2(8) Contingency Plan | Identify Critical Assets,5.18.CP-2(8),Identify critical system assets supporting essential mission and business functions so that additional controls can be employed to ensure organizational mission and business functions can continue during contingency operations.,"Both require identifying and prioritizing critical applications and data assets to support contingency planning. HIPAA focuses on ePHI systems; CJIS focuses on CJI mission-critical assets."
164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,Assess the relative criticality of specific applications and data in support of contingency plan components.,high,semantic,"HIPAA 164.308(a)(7)(ii)(E) requires criticality analysis for contingency planning. CJIS 5.19.RA-9 requires criticality analysis of information system components during the system development lifecycle. Both require systematic assessment of component criticality.",intersects_with,4,5.19.RA-9 Criticality Analysis,5.19.RA-9,Identify critical system components and functions by performing a criticality analysis for information system components containing or processing CJI at the planning design development testing implementation and maintenance stages of the system development life cycle.,"HIPAA requires criticality analysis specifically for contingency planning; CJIS requires criticality analysis across the full system development lifecycle. Both identify critical assets requiring additional protection."
164.308(a)(8),Evaluation,Perform a periodic technical and nontechnical evaluation based upon implemented standards and changes affecting security of ePHI.,high,semantic,"HIPAA 164.308(a)(8) requires periodic technical and nontechnical evaluation of the extent to which security policies meet requirements. CJIS 5.11.2 requires CSAs to audit CJAs at least triennially for compliance with applicable statutes, regulations, and policies. Both require periodic formal evaluation of security program compliance.",intersects_with,4,5.11.2 Audits by the CSA,5.11.2,Each CSA shall at a minimum triennially audit all CJAs and NCJAs with direct access to the state system to ensure compliance with applicable statutes regulations and policies.,"HIPAA requires both technical and nontechnical self-evaluation triggered by changes; CJIS requires formal third-party audits at minimum triennial frequency. Both require periodic evaluation of security compliance."
164.308(a)(8),Evaluation,Perform a periodic technical and nontechnical evaluation based upon implemented standards and changes affecting security of ePHI.,high,semantic,"HIPAA 164.308(a)(8) requires periodic security evaluation. CJIS 5.19.RA-3 requires conducting risk assessments. Both require systematic periodic evaluation of security status.",intersects_with,4,5.19.RA-3 Risk Assessment,5.19.RA-3,Conduct a risk assessment including identifying threats to and vulnerabilities in the system; determining the likelihood and magnitude of harm; determine the risk to organizational operations and assets individuals other organizations and the Nation.,"HIPAA requires technical and nontechnical evaluation of policy compliance; CJIS requires formal risk assessment. Both require periodic systematic security evaluation. HIPAA is triggered by environmental changes; CJIS provides specific assessment criteria."
164.308(b)(1),Business Associate Contracts and Other Arrangements,Covered entities may permit business associates to handle ePHI only with satisfactory assurances that BAs will safeguard information.,high,semantic,"HIPAA 164.308(b)(1) requires covered entities to obtain satisfactory assurances from business associates that they will appropriately safeguard ePHI. CJIS 5.1.1.5 requires private contractors to meet the same security criteria as governmental agencies and sign the CJIS Security Addendum. Both require contractual assurances from third parties handling sensitive information.",equal,10,5.1.1.5 Private Contractor User Agreements and CJIS Security Addendum,5.1.1.5,Private contractors who perform criminal justice functions shall meet the same training and certification criteria required by governmental agencies; all private contractors shall acknowledge and abide by all aspects of the CJIS Security Addendum.,"Both require contractual assurances from third parties handling sensitive information that they will implement appropriate safeguards. HIPAA uses BACs; CJIS uses the Security Addendum."
164.308(b)(1),Business Associate Contracts and Other Arrangements,Covered entities may permit business associates to handle ePHI only with satisfactory assurances that BAs will safeguard information.,high,semantic,"HIPAA 164.308(b)(1) requires satisfactory assurances from business associates. CJIS 5.1.2 requires monitoring and reviewing services provided by service providers. Both require oversight of third-party entities handling sensitive information.",intersects_with,4,5.1.2 Monitoring Review and Delivery of Services,5.1.2,The services reports and records provided by the service provider shall be regularly monitored and reviewed; the CJA shall maintain sufficient overall control and visibility into all security aspects including identification of vulnerabilities and incident reporting/response.,"HIPAA requires obtaining assurances before allowing BA access; CJIS requires ongoing monitoring after establishing service provider relationships. Both address third-party security management. HIPAA focuses on contractual assurances; CJIS focuses on ongoing oversight."
164.308(b)(4),Written Contract,Document satisfactory assurances required from business associates through a written contract.,high,semantic,"HIPAA 164.308(b)(4) requires documenting satisfactory assurances from BAs through a written contract meeting requirements of §164.314(a). CJIS 5.1.1.3 requires any CJA receiving access to CJI to enter a signed written agreement with the appropriate signatory authority. Both require written contractual agreements governing third-party access to sensitive information.",equal,10,5.1.1.3 Criminal Justice Agency User Agreements,5.1.1.3,Any CJA receiving access to CJI shall enter into a signed written agreement with the appropriate signatory authority of the CSA providing the access; the written agreement shall specify the FBI CJIS systems and services and the FBI CJIS Division policies to which the agency must adhere.,"Both require written contracts/agreements as the formal mechanism for documenting security obligations of third parties accessing sensitive information. HIPAA covers BA relationships; CJIS covers CJA agreements."
164.310(a)(1),Facility Access Controls,Implement policies and procedures to limit physical access to electronic information systems and facilities while ensuring authorized access.,high,semantic,"HIPAA 164.310(a)(1) requires policies and procedures to limit physical access to ePHI systems and facilities while ensuring authorized access. CJIS 5.9.PE-3 requires enforcing physical access authorizations and controlling ingress and egress to facilities. Both require comprehensive physical access control systems for facilities housing sensitive information systems.",equal,10,5.9.PE-3 Physical Access Control,5.9.PE-3,Enforce physical access authorizations by verifying individual access authorizations before granting access; control ingress and egress to the facility; control access to non-publicly accessible areas; escort visitors and control visitor activity.,"Both require physical access controls limiting unauthorized physical access to facilities containing sensitive information systems while permitting authorized access."
164.310(a)(1),Facility Access Controls,Implement policies and procedures to limit physical access to electronic information systems and facilities while ensuring authorized access.,high,semantic,"HIPAA 164.310(a)(1) requires facility access controls. CJIS 5.9.PE-2 requires developing and maintaining a list of individuals with authorized access to the facility. Both require formal authorization and management of physical facility access.",intersects_with,4,5.9.PE-2 Physical Access Authorizations,5.9.PE-2,Develop approve and maintain a list of individuals with authorized access to the facility where the system resides; issue authorization credentials for facility access; review the access list annually and when personnel changes occur.,"HIPAA requires policies limiting physical access; CJIS PE-2 requires a specific authorization list and credentials. Both require managing who has authorized physical access to facilities. CJIS provides more specific list management requirements."
164.310(a)(2)(i),Contingency Operations,Establish procedures for facility access supporting restoration of lost data under disaster recovery plan in emergency.,high,semantic,"HIPAA 164.310(a)(2)(i) requires procedures allowing facility access to support disaster recovery and emergency operations. CJIS 5.18.CP-7 requires establishing alternate processing sites and agreements for transfer and resumption of operations. Both require planning for facility and system access during emergency and recovery operations.",intersects_with,4,5.18.CP-7 Alternate Processing Site,5.18.CP-7,Establish an alternate processing site including necessary agreements to permit the transfer and resumption of operations for essential mission and business functions when the primary processing site is unavailable.,"HIPAA focuses on maintaining facility access for recovery operations at the primary site; CJIS focuses on alternate processing sites. Both address operational continuity during emergencies but from different perspectives."
164.310(a)(2)(i),Contingency Operations,Establish procedures for facility access supporting restoration of lost data under disaster recovery plan in emergency.,high,semantic,"HIPAA 164.310(a)(2)(i) requires contingency operations procedures for facility access. CJIS 5.9.PE-3 requires controlling ingress and egress with verification procedures. Both require procedures for managing facility access.",intersects_with,4,5.9.PE-3 Physical Access Control,5.9.PE-3,Enforce physical access authorizations by verifying individual access authorizations before granting access to the facility; control ingress and egress to the facility using agency-implemented procedures and controls.,"HIPAA focuses on emergency/recovery access procedures; CJIS focuses on routine and controlled physical access. Both require formal procedures governing physical access to facilities."
164.310(a)(2)(ii),Facility Security Plan,Implement policies and procedures to safeguard the facility and equipment from unauthorized physical access tampering and theft.,high,semantic,"HIPAA 164.310(a)(2)(ii) requires policies to safeguard facilities and equipment from unauthorized access, tampering, and theft. CJIS 5.9.PE-1 requires developing agency-level physical and environmental protection policy. Both require formal physical security policies for facilities housing sensitive information systems.",equal,10,5.9.PE-1 Policy and Procedures,5.9.PE-1,Develop document and disseminate organizational personnel with physical and environmental protection responsibilities: agency-level physical and environmental protection policy and procedures addressing purpose scope roles responsibilities management commitment and compliance.,"Both require documented physical security policies and procedures for safeguarding facilities from unauthorized access, tampering, and theft."
164.310(a)(2)(ii),Facility Security Plan,Implement policies and procedures to safeguard the facility and equipment from unauthorized physical access tampering and theft.,high,semantic,"HIPAA 164.310(a)(2)(ii) requires facility security plans. CJIS 5.9.PE-6 requires monitoring physical access to detect and respond to physical security incidents. Both require physical security controls for facilities.",intersects_with,4,5.9.PE-6 Monitoring Physical Access,5.9.PE-6,Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; review physical access logs quarterly; coordinate results of reviews with the organizational incident response capability.,"HIPAA requires policies and procedures to safeguard facilities; CJIS PE-6 requires ongoing monitoring and review. Both address facility security but from different angles. HIPAA covers planning; CJIS covers ongoing monitoring."
164.310(a)(2)(iii),Access Control Validation Procedures,Implement procedures to control and validate access to facilities based on role or function including visitor control.,high,semantic,"HIPAA 164.310(a)(2)(iii) requires procedures to control and validate facility access based on role or function including visitor control. CJIS 5.9.PE-3 requires escorting visitors, controlling visitor activity, and verifying access authorizations before granting entry. Both require role-based facility access validation with specific visitor controls.",equal,10,5.9.PE-3 Physical Access Control,5.9.PE-3,Enforce physical access authorizations by verifying individual access authorizations before granting access to the facility; escort visitors and control visitor activity in all physically secure locations; secure keys combinations and other physical access devices.,"Both require procedures to validate and control facility access based on role or function with specific visitor control requirements."
164.310(a)(2)(iii),Access Control Validation Procedures,Implement procedures to control and validate access to facilities based on role or function including visitor control.,high,semantic,"HIPAA 164.310(a)(2)(iii) requires visitor access control. CJIS 5.9.PE-8 requires maintaining visitor access records for one year. Both require managing and recording visitor access to facilities.",intersects_with,4,5.9.PE-8 Visitor Access Records,5.9.PE-8,Maintain visitor access records to the facility where the system resides for one year; review visitor access records quarterly; report anomalies in visitor access records to organizational personnel with physical and environmental protection responsibilities.,"HIPAA requires procedures to control and validate visitor access; CJIS requires maintaining and reviewing visitor records. Both address visitor management. CJIS adds specific record retention and review requirements."
164.310(a)(2)(iv),Maintenance Records,Implement policies to document repairs and modifications to physical components of a facility related to security.,high,semantic,"HIPAA 164.310(a)(2)(iv) requires policies to document security-related repairs and modifications to facility physical components. CJIS 5.9.PE-16 requires authorizing and controlling information system-related components entering and exiting the facility and maintaining records. Both require documentation of physical changes to facility security components.",equal,10,5.9.PE-16 Delivery and Removal of Information System Components,5.9.PE-16,Authorize and control information system-related components entering and exiting the facility; maintain records of the system components.,"Both require documentation and control records for physical changes and components related to security in facilities housing sensitive information systems."
164.310(b),Workstation Use,Implement policies specifying proper functions and physical environment of workstations accessing ePHI.,high,semantic,"HIPAA 164.310(b) requires policies specifying proper functions and physical environment of workstations accessing ePHI. CJIS 5.5.AC-8 requires displaying system use notifications before granting access specifying authorized use and monitoring. Both require defined authorized use policies for systems and workstations.",intersects_with,4,5.5.AC-8 System Use Notification,5.5.AC-8,Display a system use notification message to users before granting access to the system that states users are accessing a restricted information system and that unauthorized use is prohibited and subject to criminal and civil penalties.,"HIPAA requires policies governing workstation functions and physical environment; CJIS requires system use notification banners. Both define authorized use of workstations/systems but through different mechanisms."
164.310(b),Workstation Use,Implement policies specifying proper functions and physical environment of workstations accessing ePHI.,high,semantic,"HIPAA 164.310(b) requires physical environment specifications for workstations. CJIS 5.9.PE-5 requires controlling physical access to output from monitors, printers, and other output devices. Both address the physical environment of workstations and protection of information displayed.",intersects_with,4,5.9.PE-5 Access Control for Output Devices,5.9.PE-5,Control physical access to output from monitors printers scanners audio devices facsimile machines and copiers to prevent unauthorized individuals from obtaining the output.,"HIPAA addresses the physical surroundings of workstations; CJIS addresses physical access to workstation output. Both protect against unauthorized viewing or access to sensitive information from workstations."
164.310(c),Workstation Security,Implement physical safeguards for all workstations accessing ePHI to restrict access to authorized users.,high,semantic,"HIPAA 164.310(c) requires physical safeguards for workstations to restrict access to authorized users. CJIS 5.9.PE-3 requires controlling physical access using physical access devices and enforcing access authorizations. Both require physical access controls protecting workstations from unauthorized use.",equal,10,5.9.PE-3 Physical Access Control,5.9.PE-3,Control access to areas within the facility designated as non-publicly accessible by implementing physical access devices including keys locks combinations biometric readers and card readers; escort visitors and control visitor activity.,"Both require physical safeguards restricting workstation access to authorized users. HIPAA specifies workstations accessing ePHI; CJIS specifies access control for facilities housing CJI systems."
164.310(c),Workstation Security,Implement physical safeguards for all workstations accessing ePHI to restrict access to authorized users.,high,semantic,"HIPAA 164.310(c) requires physical workstation security. CJIS 5.9.PE-17 covers alternate work site physical security requirements. Both address physical security of work environments housing access to sensitive information.",intersects_with,4,5.9.PE-17 Alternate Work Site,5.9.PE-17,Determine and document all alternate facilities or locations allowed for use by employees; employ physical and technical security controls at alternate work sites comparable to those at primary sites.,"HIPAA requires physical safeguards for all workstations; CJIS PE-17 addresses physical security at alternate work sites. Both address physical protection of workstations. HIPAA covers all workstations; CJIS specifically addresses alternate/remote work locations."
164.310(d)(1),Device and Media Controls,Implement policies governing receipt and removal of hardware and media containing ePHI into and out of a facility.,high,semantic,"HIPAA 164.310(d)(1) requires policies governing receipt and removal of hardware and electronic media containing ePHI. CJIS 5.9.PE-16 requires authorizing and controlling information system components entering and exiting the facility with records maintenance. Both require controlled movement of hardware and media carrying sensitive information.",equal,10,5.9.PE-16 Delivery and Removal of Information System Components,5.9.PE-16,Authorize and control information system-related components entering and exiting the facility; maintain records of the system components.,"Both require policies governing the receipt and removal of hardware and media from facilities, with documentation of movements."
164.310(d)(1),Device and Media Controls,Implement policies governing receipt and removal of hardware and media containing ePHI into and out of a facility.,high,semantic,"HIPAA 164.310(d)(1) requires device and media controls. CJIS 5.8.MP-7 requires restricting use of digital media on agency systems and prohibiting personally owned media. Both require policies governing media use in sensitive information systems.",intersects_with,4,5.8.MP-7 Media Use,5.8.MP-7,Restrict the use of digital and non-digital media on agency owned systems approved for CJI storage processing or transmission; prohibit the use of personally owned digital media devices on all agency owned or controlled systems.,"HIPAA requires policies governing receipt and removal of hardware and media; CJIS requires policies governing what media may be used on systems. Both control media in facilities. HIPAA covers movement of media; CJIS covers types of permitted media."
164.310(d)(2)(i),Disposal,Implement policies addressing final disposition of ePHI and hardware or media on which it is stored.,high,semantic,"HIPAA 164.310(d)(2)(i) requires policies addressing final disposition of ePHI and hardware/media storing it. CJIS 5.8.MP-6 requires sanitizing or destroying digital and non-digital media prior to disposal or release for reuse. Both require secure disposal of media containing sensitive information.",equal,10,5.8.MP-6 Media Sanitization,5.8.MP-6,Sanitize or destroy digital and non-digital media prior to disposal release out of agency control or release for reuse using overwrite technology at least three times or degauss digital media; destroy inoperable digital media.,"Both require secure disposal or destruction of media containing sensitive information. HIPAA covers ePHI; CJIS covers CJI. Both specify that media must be sanitized before disposal or reuse."
164.310(d)(2)(ii),Media Re-use,Implement procedures for removal of ePHI from electronic media before media are made available for re-use.,high,semantic,"HIPAA 164.310(d)(2)(ii) requires procedures for removing ePHI from electronic media before re-use. CJIS 5.8.MP-6 requires sanitizing media prior to release for reuse using overwrite technology or degaussing. Both require media sanitization before re-use to prevent data remnants.",equal,10,5.8.MP-6 Media Sanitization,5.8.MP-6,Sanitize digital media prior to disposal release out of agency control or release for reuse using overwrite technology at least three times or degauss digital media prior to disposal or release for reuse by unauthorized individuals.,"Both require removal of sensitive data from electronic media before reuse through sanitization or overwriting. HIPAA covers ePHI; CJIS covers CJI."
164.310(d)(2)(iii),Accountability,Maintain a record of the movements of hardware and electronic media and any person responsible.,high,semantic,"HIPAA 164.310(d)(2)(iii) requires maintaining records of hardware and electronic media movements and responsible persons. CJIS 5.8.MP-5 requires maintaining accountability for system media during transport and documenting activities associated with transport. Both require tracking records for hardware and media movements.",equal,10,5.8.MP-5 Media Transport,5.8.MP-5,Protect and control digital and non-digital media during transport; maintain accountability for system media during transport outside of the physically secure location or controlled areas; document activities associated with the transport of system media.,"Both require maintaining records of hardware and media movements and accountability for the persons responsible. HIPAA covers movements within and out of facilities; CJIS covers media transport outside secure locations."
164.310(d)(2)(iv),Data Backup and Storage,Create a retrievable exact copy of ePHI before movement of equipment.,high,semantic,"HIPAA 164.310(d)(2)(iv) requires creating a retrievable exact copy of ePHI before moving equipment. CJIS 5.18.CP-9 requires conducting backups of user-level information in operational systems as required by contingency plans. Both require backup creation before system changes that could risk data loss.",intersects_with,4,5.18.CP-9 System Backup,5.18.CP-9,Conduct backups of user-level information contained in operational systems for essential business functions as required by the contingency plans; protect the confidentiality integrity and availability of backup information.,"HIPAA requires backup before equipment movement; CJIS requires backups per contingency plan schedule. Both address backup of sensitive information to prevent loss. HIPAA is triggered by equipment movement; CJIS follows contingency plan schedule."
164.312(a)(1),Access Control,Implement technical policies and procedures allowing access only to authorized persons or software programs.,high,semantic,"HIPAA 164.312(a)(1) requires technical policies and procedures for ePHI systems to allow access only to authorized persons or software programs. CJIS 5.5.AC-3 requires enforcement of approved authorizations for logical access to information and system resources. Both require technical enforcement of access authorizations.",equal,10,5.5.AC-3 Access Enforcement,5.5.AC-3,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"Both require technical controls ensuring only authorized users and processes can access sensitive information systems. HIPAA specifies ePHI systems; CJIS specifies CJI systems."
164.312(a)(1),Access Control,Implement technical policies and procedures allowing access only to authorized persons or software programs.,high,semantic,"HIPAA 164.312(a)(1) requires access control. CJIS 5.5.AC-2 requires defining authorized users, group and role membership, and access authorizations for each account. Both require systematic management of who may access sensitive information systems.",intersects_with,4,5.5.AC-2 Account Management,5.5.AC-2,Define and document the types of accounts allowed; specify authorized users group and role membership and access authorizations for each account; authorize access to the system based on a valid access authorization and intended system usage.,"HIPAA requires technical access control limiting access to authorized persons; CJIS provides detailed account management to implement those authorizations. Both address controlling system access to authorized entities."
164.312(a)(2)(i),Unique User Identification,Assign a unique name and/or number for identifying and tracking user identity.,high,semantic,"HIPAA 164.312(a)(2)(i) requires assigning unique names and/or numbers for identifying and tracking user identity. CJIS 5.6.IA-2 requires uniquely identifying and authenticating organizational users. Both require unique identification of users accessing sensitive information systems.",equal,10,5.6.IA-2 Identification and Authentication (Organizational Users),5.6.IA-2,Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users.,"Both require unique identification of all users accessing sensitive information systems. HIPAA requires assignment of unique identifiers; CJIS requires unique identification and authentication."
164.312(a)(2)(i),Unique User Identification,Assign a unique name and/or number for identifying and tracking user identity.,high,semantic,"HIPAA 164.312(a)(2)(i) requires unique user identification. CJIS 5.6.IA-4 requires managing system identifiers and preventing reuse of identifiers for one year. Both require unique and managed user identifiers.",intersects_with,4,5.6.IA-4 Identifier Management,5.6.IA-4,Manage system identifiers by receiving authorization to assign identifiers; selecting identifiers that uniquely identify individuals groups roles services or devices; assigning identifiers to intended individuals; and preventing reuse of identifiers for one year.,"HIPAA requires assigning unique user IDs; CJIS provides detailed identifier management including prevention of identifier reuse. CJIS provides more specific identifier lifecycle management requirements."
164.312(a)(2)(ii),Emergency Access Procedure,Establish and implement procedures for obtaining necessary ePHI during an emergency.,high,semantic,"HIPAA 164.312(a)(2)(ii) requires procedures for obtaining necessary ePHI during an emergency. CJIS 5.18.CP-2(3) requires planning for resumption of essential mission and business functions within 24 hours of contingency plan activation. Both require emergency access planning for critical information.",intersects_with,4,5.18.CP-2(3) Contingency Plan | Resume Mission And Business Functions,5.18.CP-2(3),Plan for the resumption of essential mission and business functions within twenty-four hours of contingency plan activation.,"HIPAA requires specific procedures for accessing ePHI during emergencies; CJIS requires planning for 24-hour resumption of essential functions. HIPAA focuses specifically on ePHI access; CJIS covers broader business function resumption."
164.312(a)(2)(ii),Emergency Access Procedure,Establish and implement procedures for obtaining necessary ePHI during an emergency.,high,semantic,"HIPAA 164.312(a)(2)(ii) requires emergency access procedures. CJIS 5.5.AC-2 requires account management including emergency accounts. Both address access management during emergency situations.",intersects_with,4,5.5.AC-2 Account Management,5.5.AC-2,Define and document the types of accounts allowed including emergency accounts; create enable modify disable and remove accounts in accordance with agency policy; automatically remove temporary and emergency accounts within 72 hours.,"HIPAA requires emergency access procedures for ePHI; CJIS manages emergency accounts as part of overall account management. Both address emergency system access scenarios."
164.312(a)(2)(iii),Automatic Logoff,Implement electronic procedures that terminate an electronic session after predetermined period of inactivity.,high,semantic,"HIPAA 164.312(a)(2)(iii) requires electronic procedures to terminate sessions after predetermined inactivity. CJIS 5.5.AC-11 requires initiating a device lock after a maximum of 30 minutes of inactivity. Both require automatic session termination or locking after periods of inactivity.",equal,10,5.5.AC-11 Device Lock,5.5.AC-11,Prevent further access to the system by initiating a device lock after a maximum of 30 minutes of inactivity and requiring the user to initiate a device lock before leaving the system unattended; retain the device lock until the user reestablishes access using established identification and authentication procedures.,"Both require automatic termination or locking of sessions after a defined period of inactivity to prevent unauthorized access to unattended sessions."
