controlId,title,family,description
D2-TIC-12-Threat-Intelligence-and-Information,Threat Intelligence - Threat Intelligence and Information  (Innovative┬á) - 12,Threat Intelligence and Information,"The institution is investing in the development of new threat intelligence and collaboration mechanisms (e.g., technologies, business processes) that will transform how information is gathered and shared."
D2-TIC-13-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Baseline) - 13,Monitoring and Analyzing,"Audit log records and other security event logs are reviewed and retained in a secure manner. (FFIEC Information Security Booklet, page 79)┬á"
D2-TIC-14-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Baseline) - 14,Monitoring and Analyzing,"Computer event logs are used for investigations once an event has occurred. (FFIEC Information Security Booklet, page 83)┬á"
D2-TIC-15-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Evolving) - 15,Monitoring and Analyzing,A process is implemented to monitor threat information to discover emerging threats.┬á
D2-TIC-16-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Evolving) - 16,Monitoring and Analyzing,The threat information and analysis process is assigned to a specific group or individual.┬á
D2-TIC-17-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Evolving) - 17,Monitoring and Analyzing,Security processes and technology are centralized and coordinated in a Security Operations Center (SOC) or equivalent.┬á
D2-TIC-18-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Evolving) - 18,Monitoring and Analyzing,Monitoring systems operate continuously with adequate support for efficient incident handling┬á
D2-TIC-19-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Intermediate) - 19,Monitoring and Analyzing,"A threat intelligence team is in place that evaluates threat intelligence from multiple sources for credibility, relevance, and exposure.┬á"
D2-TIC-20-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Intermediate) - 20,Monitoring and Analyzing,"A profile is created for each threat that identifies the likely intent, capability, and target of the threat.┬á"
D2-TIC-21-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Intermediate) - 21,Monitoring and Analyzing,Threat information sources that address all components of the threat profile are prioritized and monitored.┬á
D2-TIC-22-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Intermediate) - 22,Monitoring and Analyzing,Threat intelligence is analyzed to develop cyber threat summaries including risks to the institution and specific actions for the institution to consider.┬á
D2-TIC-23-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Advanced) - 23,Monitoring and Analyzing,A dedicated cyber threat identification and analysis committee or team exists to centralize and coordinate initiatives and communications.┬á
D2-TIC-24-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Advanced) - 24,Monitoring and Analyzing,Formal processes have been defined to resolve potential conflicts in information received from sharing and analysis centers or other sources.┬á
D2-TIC-25-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Advanced) - 25,Monitoring and Analyzing,Emerging internal and external threat intelligence and correlated log analysis are used to predict future attacks.┬á
D2-TIC-26-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Advanced) - 26,Monitoring and Analyzing,Threat intelligence is viewed within the context of the institution's risk profile and risk appetite to prioritize mitigating actions in anticipation of threats.┬á
D2-TIC-27-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Advanced) - 27,Monitoring and Analyzing,Threat intelligence is used to update architecture and configuration standards.
D2-TIC-28-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Innovative┬á) - 28,Monitoring and Analyzing,"The institution uses multiple sources of intelligence, correlated log analysis, alerts, internal traffic flows, and geopolitical events to predict potential future attacks and attack trends.┬á"
D2-TIC-29-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Innovative┬á) - 29,Monitoring and Analyzing,Highest risk scenarios are used to predict threats against specific business targets.┬á
D2-TIC-30-Monitoring-and-Analyzing,Threat Intelligence - Monitoring and Analyzing  (Innovative┬á) - 30,Monitoring and Analyzing,IT systems automatically detect configuration weaknesses based on threat intelligence and alert management so actions can be prioritized.┬á
D2-TIC-31-Information-Sharing,Threat Intelligence - Information Sharing  (Baseline) - 31,Information Sharing,"Information security threats are gathered and shared with applicable internal employees. (FFIEC Information Security Booklet, page 83)┬á"
D2-TIC-32-Information-Sharing,Threat Intelligence - Information Sharing  (Baseline) - 32,Information Sharing,"Contact information for law enforcement and the regulator(s) is maintained and updated regularly. (FFIEC Business Continuity Planning Work Program, Objective I: 5-1)┬á"
D2-TIC-33-Information-Sharing,Threat Intelligence - Information Sharing  (Baseline) - 33,Information Sharing,"Information about threats is shared with law enforcement and regulators when required or prompted. (FFIEC Information Security Booklet, page 84)┬á"
D2-TIC-34-Information-Sharing,Threat Intelligence - Information Sharing  (Evolving) - 34,Information Sharing,A formal and secure process is in place to share threat and vulnerability information with other entities.┬á
D2-TIC-35-Information-Sharing,Threat Intelligence - Information Sharing  (Evolving) - 35,Information Sharing,A representative from the institution participates in law enforcement or information-sharing organization meetings.┬á
D2-TIC-36-Information-Sharing,Threat Intelligence - Information Sharing  (Intermediate) - 36,Information Sharing,"A formal protocol is in place for sharing threat, vulnerability, and incident information to employees based on their specific job function.┬á"
D2-TIC-37-Information-Sharing,Threat Intelligence - Information Sharing  (Intermediate) - 37,Information Sharing,Information-sharing agreements are used as needed or required to facilitate sharing threat information with other financial sector organizations or third parties.┬á
D2-TIC-38-Information-Sharing,Threat Intelligence - Information Sharing  (Intermediate) - 38,Information Sharing,"Information is shared proactively with the industry, law enforcement, regulators, and information-sharing forums.┬á"
D2-TIC-39-Information-Sharing,Threat Intelligence - Information Sharing  (Intermediate) - 39,Information Sharing,A process is in place to communicate and collaborate with the public sector regarding cyber threats.┬á
D2-TIC-40-Information-Sharing,Threat Intelligence - Information Sharing  (Advanced) - 40,Information Sharing,Management communicates threat intelligence with business risk context and specific risk management recommendations to the business units.┬á
D2-TIC-41-Information-Sharing,Threat Intelligence - Information Sharing  (Advanced) - 41,Information Sharing,Relationships exist with employees of peer institutions for sharing cyber threat intelligence.┬á
D2-TIC-42-Information-Sharing,Threat Intelligence - Information Sharing  (Advanced) - 42,Information Sharing,A network of trust relationships (formal and/or informal) has been established to evaluate information about cyber threats.
D2-TIC-43-Information-Sharing,Threat Intelligence - Information Sharing  (Innovative┬á) - 43,Information Sharing,A mechanism is in place for sharing cyber threat intelligence with business units in real time including the potential financial and operational impact of inaction.┬á
D2-TIC-44-Information-Sharing,Threat Intelligence - Information Sharing  (Innovative┬á) - 44,Information Sharing,A system automatically informs management of the level of business risk specific to the institution and the progress of recommended steps taken to mitigate the risks.┬á
D2-TIC-45-Information-Sharing,Threat Intelligence - Information Sharing  (Innovative┬á) - 45,Information Sharing,The institution is leading efforts to create new sector-wide information-sharing channels to address gaps in external-facing information-sharing mechanisms.
D3-CSC-01-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 1,Infrastructure Management,"Network perimeter defense tools (e.g., border router and firewall) are used. (FFIEC Information Security Booklet, page 33)┬á"
D3-CSC-02-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 2,Infrastructure Management,"Systems that are accessed from the Internet or by external parties are protected by firewalls or other similar devices. (FFIEC Information Security Booklet, page 46)┬á"
D3-CSC-03-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 3,Infrastructure Management,"All ports are monitored. (FFIEC Information Security Booklet, page 50)┬á"
D3-CSC-04-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 4,Infrastructure Management,"Up to date antivirus and anti-malware tools are used. (FFIEC Information Security Booklet, page 78)┬á"
D3-CSC-05-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 5,Infrastructure Management,"Systems configurations (for servers, desktops, routers, etc.) follow industry standards and are enforced. (FFIEC Information Security Booklet, page 56)┬á"
D3-CSC-06-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 6,Infrastructure Management,"Ports, functions, protocols and services are prohibited if no longer needed for business purposes. (FFIEC Information Security Booklet, page 50)┬á"
D3-CSC-07-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 7,Infrastructure Management,"Access to make changes to systems configurations (including virtual machines and hypervisors) is controlled and monitored. (FFIEC Information Security Booklet, page 56)┬á"
D3-CSC-08-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 8,Infrastructure Management,"Programs that can override system, object, network, virtual machine, and application controls are restricted. (FFIEC Information Security Booklet, page 41)┬á"
D3-CSC-09-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 9,Infrastructure Management,"System sessions are locked after a pre-defined period of inactivity and are terminated after pre-defined conditions are met. (FFIEC Information Security Booklet, page 23)┬á"
D3-CSC-10-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Baseline) - 10,Infrastructure Management,"Wireless network environments require security settings with strong encryption for authentication and transmission. (*N/A if there are no wireless networks.) (FFIEC Information Security Booklet, page 40)┬á"
D3-CSC-11-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 11,Infrastructure Management,There is a firewall at each Internet connection and between any Demilitarized Zone (DMZ) and internal network(s).┬á
D3-CSC-12-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 12,Infrastructure Management,Antivirus and intrusion detection/prevention systems (IDS/IPS) detect and block actual and attempted attacks or intrusions.┬á
D3-CSC-13-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 13,Infrastructure Management,"Technical controls prevent unauthorized devices, including rogue wireless access devices and removable media, from connecting to the internal network(s).┬á"
D3-CSC-14-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 14,Infrastructure Management,"A risk-based solution is in place at the institution or Internet hosting┬áprovider to mitigate disruptive cyber attacks (e.g., DDoS attacks)."
D3-CSC-15-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 15,Infrastructure Management,Guest wireless networks are fully segregated from the internal network(s). (*N/A if there are no wireless networks.)┬á
D3-CSC-16-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 16,Infrastructure Management,Domain Name System Security Extensions (DNSSEC) is deployed across the enterprise.┬á
D3-CSC-17-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 17,Infrastructure Management,"Critical systems supported by legacy technologies are regularly reviewed to identify for potential vulnerabilities, upgrade opportunities, or new defense layers.┬á"
D3-CSC-18-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Evolving) - 18,Infrastructure Management,Controls for unsupported systems are implemented and tested.┬á
D3-CSC-19-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Intermediate) - 19,Infrastructure Management,"The enterprise network is segmented in multiple, separate trust/security zones with defense-in-depth strategies (e.g., logical network segmentation, hard backups, air-gapping) to mitigate attacks.┬á"
D3-CSC-20-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Intermediate) - 20,Infrastructure Management,"Security controls are used for remote access to all administrative consoles, including restricted virtual systems.┬á"
D3-CSC-21-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Intermediate) - 21,Infrastructure Management,Wireless network environments have perimeter firewalls that are implemented and configured to restrict unauthorized traffic. (*N/A if there are no wireless networks.)┬á
D3-CSC-22-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Intermediate) - 22,Infrastructure Management,Wireless networks use strong encryption with encryption keys that are changed frequently. (*N/A if there are no wireless networks.)┬á
D3-CSC-23-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Intermediate) - 23,Infrastructure Management,The broadcast range of the wireless network(s) is confined to institution-controlled boundaries. (*N/A if there are no wireless networks.)┬á
D3-CSC-24-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Intermediate) - 24,Infrastructure Management,"Technical measures are in place to prevent the execution of unauthorized code on institution owned or managed devices, network infrastructure, and systems components.┬á"
D3-CSC-25-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Advanced) - 25,Infrastructure Management,Network environments and virtual instances are designed and configured to restrict and monitor traffic between trusted and untrusted zones.┬á
D3-CSC-26-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Advanced) - 26,Infrastructure Management,Only one primary function is permitted per server to prevent functions that require different security levels from co-existing on the same server.┬á
D3-CSC-27-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Advanced) - 27,Infrastructure Management,Anti-spoofing measures are in place to detect and block forged source IP addresses from entering the network.┬á
D3-CSC-28-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Innovative┬á) - 28,Infrastructure Management,"The institution risk scores all of its infrastructure assets and updates in real time based on threats, vulnerabilities, or operational changes.┬á"
D3-CSC-29-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Innovative┬á) - 29,Infrastructure Management,"Automated controls are put in place based on risk scores to infrastructure assets, including automatically disconnecting affected assets.┬á"
D3-CSC-30-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Innovative┬á) - 30,Infrastructure Management,The institution proactively seeks to identify control gaps that may be used as part of a zero-day attack.
D3-CSC-31-Infrastructure-Management,Preventative Controls - Infrastructure Management  (Innovative┬á) - 31,Infrastructure Management,Public-facing servers are routinely rotated and restored to a known clean state to limit the window of time a system is exposed to potential threats.┬á
D3-CSC-32-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 32,Access and Data Management,"Employee access is granted to systems and confidential data based on job responsibilities and the principles of least privilege. (FFIEC Information Security Booklet, page 19)┬á"
D3-CSC-33-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 33,Access and Data Management,"Employee access to systems and confidential data provides for separation of duties. (FFIEC Information Security Booklet, page 19)┬á"
D3-CSC-34-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 34,Access and Data Management,"Elevated privileges (e.g., administrator privileges) are limited and tightly controlled (e.g., assigned to individuals, not shared, and require stronger password controls). (FFIEC Information Security Booklet, page 19)┬á"
D3-CSC-35-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 35,Access and Data Management,"User access reviews are performed periodically for all systems and applications based on the risk to the application or system. (FFIEC Information Security Booklet, page 18)┬á"
D3-CSC-36-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 36,Access and Data Management,"Changes to physical and logical user access, including those that result from voluntary and involuntary terminations, are submitted to and approved by appropriate personnel. (FFIEC Information Security Booklet, page 18)┬á"
D3-CSC-37-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 37,Access and Data Management,"Identification and authentication are required and managed for access to systems, applications, and hardware. (FFIEC Information Security Booklet, page 21)┬á"
D3-CSC-38-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 38,Access and Data Management,"Access controls include password complexity and limits to password attempts and reuse. (FFIEC Information Security Booklet, page 66)┬á"
D3-CSC-39-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 39,Access and Data Management,"All default passwords and unnecessary default accounts are changed before system implementation. (FFIEC Information Security Booklet, page 61)┬á"
D3-CSC-40-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 40,Access and Data Management,"Customer access to Internet-based products or services requires authentication controls (e.g., layered controls, multifactor) that are commensurate with the risk. (FFIEC Information Security Booklet, page 21)┬á"
D3-CSC-41-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 41,Access and Data Management,"Production and non-production environments are segregated to prevent unauthorized access or changes to information assets. (*N/A if no production environment exists at the institution or the institutionΓÇÖs third party.) (FFIEC Information Security Booklet, page 64)┬á"
D3-CSC-42-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 42,Access and Data Management,"Physical security controls are used to prevent unauthorized access to information systems and telecommunication systems. (FFIEC Information Security Booklet, page 47)┬á"
D3-CSC-43-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 43,Access and Data Management,"All passwords are encrypted in storage and in transit. (FFIEC Information Security Booklet, page 21)"
D3-CSC-44-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 44,Access and Data Management,"Confidential data are encrypted when transmitted across public or untrusted networks (e.g., Internet). (FFIEC Information Security Booklet, page 51)┬á"
D3-CSC-45-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 45,Access and Data Management,"Mobile devices (e.g., laptops, tablets, and removable media) are encrypted if used to store confidential data. (*N/A if mobile devices are not used.) (FFIEC Information Security Booklet, page 51)┬á"
D3-CSC-46-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 46,Access and Data Management,"Remote access to critical systems by employees, contractors, and third parties uses encrypted connections and multifactor authentication. (FFIEC Information Security Booklet, page 45)┬á"
D3-CSC-47-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 47,Access and Data Management,"Administrative, physical, or technical controls are in place to prevent users without administrative responsibilities from installing unauthorized software. (FFIEC Information Security Booklet, page 25)┬á"
D3-CSC-48-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 48,Access and Data Management,"Customer service (e.g., the call center) utilizes formal procedures to authenticate customers commensurate with the risk of the transaction or request. (FFIEC Information Security Booklet, page 19)┬á"
D3-CSC-49-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Baseline) - 49,Access and Data Management,"Data is disposed of or destroyed according to documented requirements and within expected time frames. (FFIEC Information Security Booklet, page 66)┬á"
D3-CSC-50-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Evolving) - 50,Access and Data Management,Changes to user access permissions trigger automated notices to appropriate personnel.┬á
D3-CSC-51-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Evolving) - 51,Access and Data Management,"Administrators have two accounts: one for administrative use and one for general purpose, non-administrative tasks.┬á"
D3-CSC-52-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Evolving) - 52,Access and Data Management,"Use of customer data in non-production environments complies with legal, regulatory, and internal policy requirements for concealing or removing of sensitive data elements.┬á"
D3-CSC-53-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Evolving) - 53,Access and Data Management,"Physical access to high-risk or confidential systems is restricted, logged, and unauthorized access is blocked.┬á"
D3-CSC-54-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Evolving) - 54,Access and Data Management,Controls are in place to prevent unauthorized access to cryptographic keys.
D3-CSC-55-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 55,Access and Data Management,The institution has implemented tools to prevent unauthorized access to or exfiltration of confidential data.┬á
D3-CSC-56-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 56,Access and Data Management,Controls are in place to prevent unauthorized escalation of user privileges.┬á
D3-CSC-57-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 57,Access and Data Management,Access controls are in place for database administrators to prevent unauthorized downloading or transmission of confidential data.┬á
D3-CSC-58-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 58,Access and Data Management,All physical and logical access is removed immediately upon notification of involuntary termination and within 24 hours of an employeeΓÇÖs voluntary departure.┬á
D3-CSC-59-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 59,Access and Data Management,Multifactor authentication and/or layered controls have been implemented to secure all third-party access to the institution's network and/or systems and applications.┬á
D3-CSC-60-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 60,Access and Data Management,"Multifactor authentication (e.g., tokens, digital certificates) techniques are used for employee access to high-risk systems as identified in the risk assessment(s). (*N/A if no high risk systems.)┬á"
D3-CSC-61-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 61,Access and Data Management,"Confidential data are encrypted in transit across private connections (e.g., frame relay and T1) and within the institutionΓÇÖs trusted zones.┬á"
D3-CSC-62-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Intermediate) - 62,Access and Data Management,"Controls are in place to prevent unauthorized access to collaborative computing devices and applications (e.g., networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)┬á"
D3-CSC-63-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Advanced) - 63,Access and Data Management,Encryption of select data at rest is determined by the institutionΓÇÖs data classification and risk assessment.┬á
D3-CSC-64-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Advanced) - 64,Access and Data Management,"Customer authentication for high-risk transactions includes methods to prevent malware and man-in-the-middle attacks (e.g., using visual transaction signing)."
D3-CSC-65-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Innovative┬á) - 65,Access and Data Management,"Adaptive access controls de-provision or isolate an employee, third-party, or customer credentials to minimize potential damage if malicious behavior is suspected.┬á"
D3-CSC-66-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Innovative┬á) - 66,Access and Data Management,"Unstructured confidential data are tracked and secured through an identity-aware, cross-platform storage system that protects against internal threats, monitors user access, and tracks changes.┬á"
D3-CSC-67-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Innovative┬á) - 67,Access and Data Management,"Tokenization is used to substitute unique values for confidential information (e.g., virtual credit card).┬á"
D3-CSC-68-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Innovative┬á) - 68,Access and Data Management,"The institution is leading efforts to create new technologies and processes for managing customer, employee, and third-party authentication and access.┬á"
D3-CSC-69-Access-and-Data-Management,Preventative Controls - Access and Data Management  (Innovative┬á) - 69,Access and Data Management,Real-time risk mitigation is taken based on automated risk scoring of user credentials.┬á
D3-CSC-70-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Baseline) - 70,Device/End-Point Security,"Controls are in place to restrict the use of removable media to authorized personnel. (FFIEC Information Security Work Program, Objective I: 4-1)┬á"
D3-CSC-71-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 71,Device/End-Point Security,Tools automatically block attempted access from unpatched employee and third-party devices.┬á
D3-CSC-72-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 72,Device/End-Point Security,Tools automatically block attempted access by unregistered devices to internal networks.┬á
D3-CSC-73-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 73,Device/End-Point Security,The institution has controls to prevent the unauthorized addition of new connections.┬á
D3-CSC-74-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 74,Device/End-Point Security,Controls are in place to prevent unauthorized individuals from copying confidential data to removable media.┬á
D3-CSC-75-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 75,Device/End-Point Security,"Antivirus and anti-malware tools are deployed on end-point devices (e.g., workstations, laptops, and mobile devices).┬á"
D3-CSC-76-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 76,Device/End-Point Security,Mobile devices with access to the institutionΓÇÖs data are centrally managed for antivirus and patch deployment. (*N/A if mobile devices are not used.)┬á
D3-CSC-77-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Evolving) - 77,Device/End-Point Security,The institution wipes data remotely on mobile devices when a device is missing or stolen. (*N/A if mobile devices are not used.)┬á
D3-CSC-78-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Intermediate) - 78,Device/End-Point Security,"Data loss prevention controls or devices are implemented for inbound and outbound communications (e.g., e-mail, FTP, Telnet, prevention of large file transfers).┬á"
D3-CSC-79-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Intermediate) - 79,Device/End-Point Security,"Mobile device management includes integrity scanning (e.g., jailbreak/rooted detection). (*N/A if mobile devices are not used.)┬á"
D3-CSC-80-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Intermediate) - 80,Device/End-Point Security,Mobile devices connecting to the corporate network for storing and accessing company information allow for remote software version/patch validation. (*N/A if mobile devices are not used.)
D3-CSC-81-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Advanced) - 81,Device/End-Point Security,EmployeesΓÇÖ and third partiesΓÇÖ devices (including mobile) without the latest security patches are quarantined and patched before the device is granted access to the network.┬á
D3-CSC-82-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Advanced) - 82,Device/End-Point Security,"Confidential data and applications on mobile devices are only accessible via a secure, isolated sandbox or a secure container.┬á"
D3-CSC-83-Device-End-Point-Security,Preventative Controls - Device/End-Point Security  (Innovative┬á) - 83,Device/End-Point Security,"A centralized end-point management tool provides fully integrated patch, configuration, and vulnerability management, while also being able to detect malware upon arrival to prevent an exploit.┬á"
D3-CSC-84-Secure-Coding,Preventative Controls - Secure Coding (Baseline) - 84,Secure Coding,"Developers working for the institution follow secure program coding practices, as part of a system development life cycle (SDLC), that meet industry standards. (FFIEC Information Security Booklet, page 56)"
D3-CSC-85-Secure-Coding,Preventative Controls - Secure Coding (Baseline) - 85,Secure Coding,"The security controls of internally developed software are periodically reviewed and tested. (*N/A if there is no software development.) (FFIEC Information Security Booklet, page 59)"
D3-CSC-86-Secure-Coding,Preventative Controls - Secure Coding (Baseline) - 86,Secure Coding,"The security controls in internally developed software code are independently reviewed before migrating the code to production. (*N/A if there is no software development.) (FFIEC Development and Acquisition Booklet, page 2)"
D3-CSC-87-Secure-Coding,Preventative Controls - Secure Coding (Baseline) - 87,Secure Coding,"Intellectual property and production code are held in escrow. (*N/A if there is no production code to hold in escrow.) (FFIEC Development and Acquisition Booklet, page 39)"
D3-CSC-88-Secure-Coding,Preventative Controls - Secure Coding (Evolving) - 88,Secure Coding,"Security testing occurs at all post-design phases of the SDLC for all applications, including mobile applications. (*N/A if there is no software development.)"
D3-CSC-89-Secure-Coding,Preventative Controls - Secure Coding (Intermediate) - 89,Secure Coding,Processes are in place to mitigate vulnerabilities identified as part of the secure development of systems and applications.
D3-CSC-90-Secure-Coding,Preventative Controls - Secure Coding (Intermediate) - 90,Secure Coding,"The security of applications, including Web-based applications connected to the Internet, is tested against known types of cyber attacks (e.g., SQL injection, cross-site scripting, buffer overflow) before implementation or following significant changes."
D3-CSC-91-Secure-Coding,Preventative Controls - Secure Coding (Intermediate) - 91,Secure Coding,Software code executables and scripts are digitally signed to confirm the software author and guarantee that the code has not been altered or corrupted.
D3-CSC-92-Secure-Coding,Preventative Controls - Secure Coding (Intermediate) - 92,Secure Coding,"A risk-based, independent information assurance function evaluates the security of internal applications."
D3-CSC-93-Secure-Coding,Preventative Controls - Secure Coding (Advanced) - 93,Secure Coding,Vulnerabilities identified through a static code analysis are remediated before implementing newly developed or changed applications into production.
D3-CSC-94-Secure-Coding,Preventative Controls - Secure Coding (Advanced) - 94,Secure Coding,All interdependencies between applications and services have been identified.
D3-CSC-95-Secure-Coding,Preventative Controls - Secure Coding (Advanced) - 95,Secure Coding,Independent code reviews are completed on internally developed or vendor-provided custom applications to ensure there are no security gaps.
D3-CSC-96-Secure-Coding,Preventative Controls - Secure Coding (Innovative┬á) - 96,Secure Coding,Software code is actively scanned by automated tools in the development environment so that security weaknesses can be resolved immediately during the design phase.
D3-CSC-01-Threat-Intelligence-and-Information,Detective Controls┬á - Threat Intelligence and Information  (Baseline) - 1,Threat Intelligence and Information,"Independent testing (including penetration testing and vulnerability scanning) is conducted according to the risk assessment for external-facing systems and the internal network. (FFIEC Information Security Booklet, page 61)┬á"
D3-CSC-02-Threat-Intelligence-and-Information,Detective Controls┬á - Threat Intelligence and Information  (Baseline) - 2,Threat Intelligence and Information,"Antivirus and anti-malware tools are used to detect attacks. (FFIEC Information Security Booklet, page 55)┬á"
D3-CSC-03-Threat-Intelligence-and-Information,Detective Controls┬á - Threat Intelligence and Information  (Baseline) - 3,Threat Intelligence and Information,"Firewall rules are audited or verified at least quarterly. (FFIEC Information Security Booklet, page 82)┬á"
D3-CSC-04-Threat-Intelligence-and-Information,Detective Controls┬á - Threat Intelligence and Information  (Baseline) - 4,Threat Intelligence and Information,"E-mail protection mechanisms are used to filter for common cyber threats (e.g., attached malware or malicious links). (FFIEC Information Security Booklet, page 39)┬á"
