controlId,title,family,description,parameters,objectives,enhancements
PE-6(4),PE-06(04) - Monitoring Physical Access to Systems,Physical and Environmental Protection,"Monitor physical access to the system in addition to the physical access monitoring of the facility at . Discussion Monitoring physical access to systems provides additional monitoring for those areas within facilities where there is a concentration of system components, including server rooms, media storage areas, and communications centers. Physical access monitoring can be coordinated with intrusion detection systems and system monitoring capabilities to provide comprehensive and integrated threat coverage for the organization.","[{""uuid"":""f5866405-9d21-46a3-ab27-9830abbff728"",""parameterId"":""PE-6(4)"",""text"":""physical spaces"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined physical spaces] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-06.04_odp""}]","[{""uuid"":""867e5078-2200-458c-a0b7-666b548315ae"",""name"":""PE-6(4)"",""objectiveType"":"""",""otherId"":""pe-6.4_smt"",""description"":""Monitor physical access to the system in addition to the physical access monitoring of the facility at {{ insert: param, PE-6(4) }}.""}]",
PE-8,PE-08 - Visitor Access Records,Physical and Environmental Protection,"a. Maintain visitor access records to the facility where the system resides for ; b. Review visitor access records ; and c. Report anomalies in visitor access records to . Discussion Visitor access records include the names and organizations of individuals visiting, visitor signatures, forms of identification, dates of access, entry and departure times, purpose of visits, and the names and organizations of individuals visited. Access record reviews determine if access authorizations are current and are still required to support organizational mission and business functions. Access records are not required for publicly accessible areas.","[{""uuid"":""0252fd78-9aa7-4132-a299-726191c08769"",""parameterId"":""PE-8(a)"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-08_odp.01""},{""uuid"":""9136783e-662e-4dbe-b50b-75f12a3c2d14"",""parameterId"":""PE-8(b)"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-08_odp.02""},{""uuid"":""de4fcf7a-c2ba-472f-985d-5c32ba00e896"",""parameterId"":""PE-8(c)"",""text"":""personnel"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined personnel] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-08_odp.03""}]","[{""uuid"":""1a6bbd00-7746-449b-a697-05b300eec9bd"",""name"":""a."",""objectiveType"":"""",""otherId"":""pe-8_smt.a"",""description"":""<ul><li>a. Maintain visitor access records to the facility where the system resides for {{ insert: param, PE-8(a) }};</li></ul>""},{""uuid"":""18998d93-12f6-4aab-8864-7f5bd3e9fb8b"",""name"":""b."",""objectiveType"":"""",""otherId"":""pe-8_smt.b"",""description"":""<ul><li>b. Review visitor access records {{ insert: param, PE-8(b) }} ; and</li></ul>""},{""uuid"":""d7529b94-f76f-4dd0-9b2d-3eb90f17b8f1"",""name"":""c."",""objectiveType"":"""",""otherId"":""pe-8_smt.c"",""description"":""<ul><li>c. Report anomalies in visitor access records to {{ insert: param, PE-8(c) }}.</li></ul>""}]",Enhancements PE-8(1) - Automated Records Maintenance and Review PE-8(3) - Limit Personally Identifiable Information Elements
PE-9,PE-09 - Power Equipment and Cabling,Physical and Environmental Protection,"Protect power equipment and power cabling for the system from damage and destruction. Discussion Organizations determine the types of protection necessary for the power equipment and cabling employed at different locations that are both internal and external to organizational facilities and environments of operation. Types of power equipment and cabling include internal cabling and uninterruptable power sources in offices or data centers, generators and power cabling outside of buildings, and power sources for self-contained components such as satellites, vehicles, and other deployable systems.",,"[{""uuid"":""d49f7735-4e6f-458a-9a88-7ff44493e5c8"",""name"":""PE-9"",""objectiveType"":"""",""otherId"":""pe-9_smt"",""description"":""Protect power equipment and power cabling for the system from damage and destruction.""}]",Enhancements PE-9(1) - Redundant Cabling PE-9(2) - Automatic Voltage Controls
PE-10,PE-10 - Emergency Shutoff,Physical and Environmental Protection,"a. Provide the capability of shutting off power to in emergency situations; b. Place emergency shutoff switches or devices in to facilitate access for authorized personnel; and c. Protect emergency power shutoff capability from unauthorized activation. Discussion Emergency power shutoff primarily applies to organizational facilities that contain concentrations of system resources, including data centers, mainframe computer rooms, server rooms, and areas with computer-controlled machinery. OT Discussion It may not be possible or advisable to shut off power to some OT. The organizational-defined parameters for this control should be implemented in consultation with safety and operational personnel. Example compensating controls include failing to a known state and emergency procedures.","[{""uuid"":""14446f2e-8eab-4d60-8781-16bb49eed822"",""parameterId"":""PE-10(a)"",""text"":""system or individual system components"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined system or individual system components] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-10_odp.01""},{""uuid"":""f5169b93-c0aa-47ce-88bd-aa5a3293a507"",""parameterId"":""PE-10(b)"",""text"":""location"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined location] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-10_odp.02""}]","[{""uuid"":""78da13e6-69c7-4834-9bec-dd922544842b"",""name"":""a."",""objectiveType"":"""",""otherId"":""pe-10_smt.a"",""description"":""<ul><li>a. Provide the capability of shutting off power to {{ insert: param, PE-10(a) }} in emergency situations;</li></ul>""},{""uuid"":""1526a460-a471-4866-b894-8d2b146d212f"",""name"":""b."",""objectiveType"":"""",""otherId"":""pe-10_smt.b"",""description"":""<ul><li>b. Place emergency shutoff switches or devices in {{ insert: param, PE-10(b) }} to facilitate access for authorized personnel; and</li></ul>""},{""uuid"":""434ce687-8ff1-427c-84d8-a315d54a54ae"",""name"":""c."",""objectiveType"":"""",""otherId"":""pe-10_smt.c"",""description"":""<ul><li>c. Protect emergency power shutoff capability from unauthorized activation.</li></ul>""}]",Enhancements
PE-11,PE-11 - Emergency Power,Physical and Environmental Protection,"Provide an uninterruptible power supply to facilitate in the event of a primary power source loss. Discussion An uninterruptible power supply (UPS) is an electrical system or mechanism that provides emergency power when there is a failure of the main power source. A UPS is typically used to protect computers, data centers, telecommunication equipment, or other electrical equipment where an unexpected power disruption could cause injuries, fatalities, serious mission or business disruption, or loss of data or information. A UPS differs from an emergency power system or backup generator in that the UPS provides near-instantaneous protection from unanticipated power interruptions from the main power source by providing energy stored in batteries, supercapacitors, or flywheels. The battery duration of a UPS is relatively short but provides sufficient time to start a standby power source, such as a backup generator, or properly shut down the system.","[{""uuid"":""0c80ca8c-0c75-4dc4-b613-62d8b996a5ff"",""parameterId"":""PE-11"",""text"":""[Selection: an orderly shutdown of the system; transition of the system to long-term alternate power]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection: an orderly shutdown of the system; transition of the system to long-term alternate power]"",""displayName"":"""",""dataType"":"""",""otherId"":""pe-11_odp""}]","[{""uuid"":""e2918758-ddc3-4b79-84b9-f5b49d06c5e9"",""name"":""PE-11"",""objectiveType"":"""",""otherId"":""pe-11_smt"",""description"":""Provide an uninterruptible power supply to facilitate {{ insert: param, PE-11 }} in the event of a primary power source loss.""}]",Enhancements PE-11(1) - Alternate Power Supply â€” Minimal Operational Capability PE-11(2) - Alternate Power Supply â€” Self-contained
PE-12,PE-12 - Emergency Lighting,Physical and Environmental Protection,"Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility. Discussion The provision of emergency lighting applies primarily to organizational facilities that contain concentrations of system resources, including data centers, server rooms, and mainframe computer rooms. Emergency lighting provisions for the system are described in the contingency plan for the organization. If emergency lighting for the system fails or cannot be provided, organizations consider alternate processing sites for power-related contingencies.",,"[{""uuid"":""e023b205-0734-41ce-a098-a747c9131b63"",""name"":""PE-12"",""objectiveType"":"""",""otherId"":""pe-12_smt"",""description"":""Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.""}]",Enhancements PE-12(1) - Essential Mission and Business Functions
PE-13,PE-13 - Fire Protection,Physical and Environmental Protection,"Employ and maintain fire detection and suppression systems that are supported by an independent energy source. Discussion The provision of fire detection and suppression systems applies primarily to organizational facilities that contain concentrations of system resources, including data centers, server rooms, and mainframe computer rooms. Fire detection and suppression systems that may require an independent energy source include sprinkler systems and smoke detectors. An independent energy source is an energy source, such as a microgrid, that is separate, or can be separated, from the energy sources providing power for the other parts of the facility. OT Discussion Fire suppression mechanisms should take the OT environment into account (e.g., water sprinkler systems could be hazardous in specific environments).",,"[{""uuid"":""47b921f6-c223-4039-8000-3b3fdaa4f0d9"",""name"":""PE-13"",""objectiveType"":"""",""otherId"":""pe-13_smt"",""description"":""Employ and maintain fire detection and suppression systems that are supported by an independent energy source.""}]",Enhancements PE-13(1) - Detection Systems â€” Automatic Activation and Notification PE-13(2) - Suppression Systems â€” Automatic Activation and Notification PE-13(4) - Inspections
PE-13(1),PE-13(01) - Detection Systems â€” Automatic Activation and Notification,Physical and Environmental Protection,"Employ fire detection systems that activate automatically and notify and in the event of a fire. Discussion Organizations can identify personnel, roles, and emergency responders if individuals on the notification list need to have access authorizations or clearances (e.g., to enter to facilities where access is restricted due to the classification or impact level of information within the facility). Notification mechanisms may require independent energy sources to ensure that the notification capability is not adversely affected by the fire.","[{""uuid"":""f7204917-77ff-4e18-b521-8fa637befc40"",""parameterId"":""PE-13(1)-1"",""text"":""personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-13.01_odp.01""},{""uuid"":""57ad77f5-8bb1-4176-96a4-d79f5a5fb0f7"",""parameterId"":""PE-13(1)-2"",""text"":""emergency responders"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined emergency responders] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-13.01_odp.02""}]","[{""uuid"":""ba671d19-89af-49d4-a07e-398b584aaae1"",""name"":""PE-13(1)"",""objectiveType"":"""",""otherId"":""pe-13.1_smt"",""description"":""Employ fire detection systems that activate automatically and notify {{ insert: param, PE-13(1)-1 }} and {{ insert: param, PE-13(1)-2 }} in the event of a fire.""}]",
PE-14,PE-14 - Environmental Controls,Physical and Environmental Protection,"a. Maintain levels within the facility where the system resides at ; and b. Monitor environmental control levels . Discussion The provision of environmental controls applies primarily to organizational facilities that contain concentrations of system resources (e.g., data centers, mainframe computer rooms, and server rooms). Insufficient environmental controls, especially in very harsh environments, can have a significant adverse impact on the availability of systems and system components that are needed to support organizational mission and business functions. OT Discussion Temperature and humidity controls are typically components of other OT systems (e.g., HVAC, process, or lighting systems) or can be a stand-alone and unique OT system. OT can operate in extreme environments and both interior and exterior locations. For a specific OT, the temperature and humidity design and operational parameters dictate the performance specifications. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems must be maintained at the proper temperature and humidity. When environmental controls cannot be implemented, use hardware that is engineered to withstand the OT’s unique environmental hazards.","[{""uuid"":""6e04ded7-2610-46a9-be16-16e19e9d46a4"",""parameterId"":""PE-14(a)-1"",""text"":""[Selection (one or more): temperature; humidity; pressure; radiation; [(NESTED PARAMETER) Assignment for pe-14_odp.02: environmental control]]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection (one or more): temperature; humidity; pressure; radiation; [(NESTED PARAMETER) Assignment for pe-14_odp.02: environmental control]]"",""displayName"":"""",""dataType"":"""",""otherId"":""pe-14_odp.01""},{""uuid"":""be510cb3-7aeb-4f7c-8d2e-650d952cb056"",""parameterId"":""PE-14(a)-2"",""text"":""acceptable levels"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined acceptable levels] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-14_odp.03""},{""uuid"":""15b0671d-df26-492a-97b0-71d63b78aaa4"",""parameterId"":""PE-14(b)"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-14_odp.04""}]","[{""uuid"":""95d0bae5-605a-403f-a8da-72c522ec564e"",""name"":""a."",""objectiveType"":"""",""otherId"":""pe-14_smt.a"",""description"":""<ul><li>a. Maintain {{ insert: param, PE-14(a)-1 }} levels within the facility where the system resides at {{ insert: param, PE-14(a)-2 }} ; and</li></ul>""},{""uuid"":""19f28494-8887-459c-9605-7f425eb8a353"",""name"":""b."",""objectiveType"":"""",""otherId"":""pe-14_smt.b"",""description"":""<ul><li>b. Monitor environmental control levels {{ insert: param, PE-14(b) }}.</li></ul>""}]",Enhancements PE-14(1) - Automatic Controls PE-14(2) - Monitoring with Alarms and Notifications
PE-15,PE-15 - Water Damage Protection,Physical and Environmental Protection,"Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel. Discussion The provision of water damage protection primarily applies to organizational facilities that contain concentrations of system resources, including data centers, server rooms, and mainframe computer rooms. Isolation valves can be employed in addition to or in lieu of master shutoff valves to shut off water supplies in specific areas of concern without affecting entire organizations. OT Discussion Water damage protection and the use of shutoff and isolation valves are procedural actions and specific types of OT. OT used in the manufacturing, hydropower, transportation/navigation, water, and wastewater industries rely on the movement of water and are specifically designed to manage the quantity, flow, and pressure of water. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems should ensure that water will not disable the system (e.g., a fire that activates the sprinkler system does not spray onto the fire control servers, routers, or switches or short out the alarms, egress systems, emergency lighting, or suppression systems).",,"[{""uuid"":""edf74ed9-a3cb-4464-9336-0d05cfc4330d"",""name"":""PE-15"",""objectiveType"":"""",""otherId"":""pe-15_smt"",""description"":""Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.""}]",Enhancements PE-15(1) - Automation Support
PE-16,PE-16 - Delivery and Removal,Physical and Environmental Protection,a. Authorize and control entering and exiting the facility; and b. Maintain records of the system components. Discussion Enforcing authorizations for entry and exit of system components may require restricting access to delivery areas and isolating the areas from the system and media libraries.,"[{""uuid"":""578345c1-5361-40c3-89bb-42090f491de9"",""parameterId"":""PE-16(a)"",""text"":""organization-defined types of system components"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization-defined types of system components] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-16_prm_1""}]","[{""uuid"":""dbb0c96d-2459-48e3-bb9c-56dd6f9c27da"",""name"":""a."",""objectiveType"":"""",""otherId"":""pe-16_smt.a"",""description"":""<ul><li>a. Authorize and control {{ insert: param, PE-16(a) }} entering and exiting the facility; and</li></ul>""},{""uuid"":""e2e31d32-c739-46b0-8b39-31b3d58e0c1e"",""name"":""b."",""objectiveType"":"""",""otherId"":""pe-16_smt.b"",""description"":""<ul><li>b. Maintain records of the system components.</li></ul>""}]",
PE-17,PE-17 - Alternate Work Site,Physical and Environmental Protection,"a. Determine and document the allowed for use by employees; b. Employ the following controls at alternate work sites: ; c. Assess the effectiveness of controls at alternate work sites; and d. Provide a means for employees to communicate with information security and privacy personnel in case of incidents. Discussion Alternate work sites include government facilities or the private residences of employees. While distinct from alternative processing sites, alternate work sites can provide readily available alternate locations during contingency operations. Organizations can define different sets of controls for specific alternate work sites or types of sites depending on the work-related activities conducted at the sites. Implementing and assessing the effectiveness of organization-defined controls and providing a means to communicate incidents at alternate work sites supports the contingency planning activities of organizations.","[{""uuid"":""81b2c03b-d611-41bc-975d-ace5240cb5a3"",""parameterId"":""PE-17(a)"",""text"":""alternate work sites"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined alternate work sites] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-17_odp.01""},{""uuid"":""becd73da-22f0-40bc-9e20-517084690b54"",""parameterId"":""PE-17(b)"",""text"":""controls"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined controls] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-17_odp.02""}]","[{""uuid"":""f4d7713d-05b4-4aae-8c9f-5b0a64f8de5b"",""name"":""a."",""objectiveType"":"""",""otherId"":""pe-17_smt.a"",""description"":""<ul><li>a. Determine and document the {{ insert: param, PE-17(a) }} allowed for use by employees;</li></ul>""},{""uuid"":""61c9c1ad-8305-4620-b11a-be87d6f36d9a"",""name"":""b."",""objectiveType"":"""",""otherId"":""pe-17_smt.b"",""description"":""<ul><li>b. Employ the following controls at alternate work sites: {{ insert: param, PE-17(b) }};</li></ul>""},{""uuid"":""d80b7918-9c67-4ff5-9987-28d5ce927384"",""name"":""c."",""objectiveType"":"""",""otherId"":""pe-17_smt.c"",""description"":""<ul><li>c. Assess the effectiveness of controls at alternate work sites; and</li></ul>""},{""uuid"":""af001645-dbba-41c9-a1a5-e436f5a06607"",""name"":""d."",""objectiveType"":"""",""otherId"":""pe-17_smt.d"",""description"":""<ul><li>d. Provide a means for employees to communicate with information security and privacy personnel in case of incidents.</li></ul>""}]",
PE-22,PE-22 - Component Marking,Physical and Environmental Protection,"Mark indicating the impact level or classification level of the information permitted to be processed, stored, or transmitted by the hardware component. Discussion Hardware components that may require marking include input and output devices. Input devices include desktop and notebook computers, keyboards, tablets, and smart phones. Output devices include printers, monitors/video displays, facsimile machines, scanners, copiers, and audio devices. Permissions controlling output to the output devices are addressed in AC-3 or AC-4 . Components are marked to indicate the impact level or classification level of the system to which the devices are connected, or the impact level or classification level of the information permitted to be output. Security marking refers to the use of human-readable security attributes. Security labeling refers to the use of security attributes for internal system data structures. Security marking is generally not required for hardware components that process, store, or transmit information determined by organizations to be in the public domain or to be publicly releasable. However, organizations may require markings for hardware components that process, store, or transmit public information in order to indicate that such information is publicly releasable. Marking of system hardware components reflects applicable laws, executive orders, directives, policies, regulations, and standards. OT Discussion Hardware components are marked or labeled to indicate information that is processed, stored, or transmitted. Component markings can be useful for differentiating between safety and control systems, OT and IT equipment, and internally and externally connected systems. Marking components reduces the probability of mismanaging the system or performing maintenance on an incorrect device.","[{""uuid"":""f235d7fb-a999-4e4b-8fb9-1f2382cacef6"",""parameterId"":""PE-22"",""text"":""system hardware components"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined system hardware components] "",""displayName"":"""",""dataType"":"""",""otherId"":""pe-22_odp""}]","[{""uuid"":""cf36c445-c9d8-43ca-a521-c70fced9fc1c"",""name"":""PE-22"",""objectiveType"":"""",""otherId"":""pe-22_smt"",""description"":""Mark {{ insert: param, PE-22 }} indicating the impact level or classification level of the information permitted to be processed, stored, or transmitted by the hardware component.""}]",
PL-1,PL-01 - Policy and Procedures,Planning,"a. Develop, document, and disseminate to : 1. planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the planning policy and the associated planning controls; b. Designate an to manage the development, documentation, and dissemination of the planning policy and procedures; and c. Review and update the current planning: 1. Policy and following ; and 2. Procedures and following . Discussion Planning policy and procedures for the controls in the PL family implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on their development. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission level or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission/business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to planning policy and procedures include, but are not limited to, assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure. OT Discussion The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","[{""uuid"":""46e4f480-2a02-4208-b065-6ab3a5703a2c"",""parameterId"":""PL-1(a)"",""text"":""organization-defined personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization-defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""pl-1_prm_1""},{""uuid"":""ed9425c5-5f35-4aeb-8a40-1eb28e1a8996"",""parameterId"":""PL-1(a)(1)"",""text"":""[Selection (one or more): organization-level; mission/business process-level; system-level]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection (one or more): organization-level; mission/business process-level; system-level]"",""displayName"":"""",""dataType"":"""",""otherId"":""pl-01_odp.03""},{""uuid"":""5dbbb7bc-7f66-4ee2-bf1a-a4088279add3"",""parameterId"":""PL-1(b)"",""text"":""official"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined official] "",""displayName"":"""",""dataType"":"""",""otherId"":""pl-01_odp.04""},{""uuid"":""24c6b47f-45cb-432d-bf67-7d808154ec80"",""parameterId"":""PL-1(c)(1)-1"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""pl-01_odp.05""},{""uuid"":""140614b6-10a0-40bb-8526-27672e2fb510"",""parameterId"":""PL-1(c)(1)-2"",""text"":""events"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined events] "",""displayName"":"""",""dataType"":"""",""otherId"":""pl-01_odp.06""},{""uuid"":""2cf632d5-b638-4cd4-bd4b-e7987e21563f"",""parameterId"":""PL-1(c)(2)-1"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""pl-01_odp.07""},{""uuid"":""013c6e4e-6dff-4ca7-9b85-5c39cd166519"",""parameterId"":""PL-1(c)(2)-2"",""text"":""events"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined events] "",""displayName"":"""",""dataType"":"""",""otherId"":""pl-01_odp.08""}]","[{""uuid"":""66a3a023-0ffe-4170-987e-803c75fbfc20"",""name"":""a."",""objectiveType"":"""",""otherId"":""pl-1_smt.a"",""description"":""<ul><li>a. Develop, document, and disseminate to {{ insert: param, PL-1(a) }}:</li><ul><li>1. {{ insert: param, PL-1(a)(1) }} planning policy that:</li><ul><li>(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and</li><li>(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and</li></ul><li>2. Procedures to facilitate the implementation of the planning policy and the associated planning controls;</li></ul>""},{""uuid"":""382e2e5a-71b1-4b41-ac14-35e5985c311c"",""name"":""b."",""objectiveType"":"""",""otherId"":""pl-1_smt.b"",""description"":""<ul><li>b. Designate an {{ insert: param, PL-1(b) }} to manage the development, documentation, and dissemination of the planning policy and procedures; and</li></ul>""},{""uuid"":""e388e734-41e2-4318-8545-d01ed4de04e9"",""name"":""c."",""objectiveType"":"""",""otherId"":""pl-1_smt.c"",""description"":""<ul><li>c. Review and update the current planning:</li><ul><li>1. Policy {{ insert: param, PL-1(c)(1)-1 }} and following {{ insert: param, PL-1(c)(1)-2 }} ; and</li><li>2. Procedures {{ insert: param, PL-1(c)(2)-1 }} and following {{ insert: param, PL-1(c)(2)-2 }}.</li></ul>""}]",
