FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet_Controls Requirement Title,Target ID #,OneLeet_Controls Requirement Description,Notes
CA-7(1),CA-07(01) - Independent Assessment,"Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.GuidanceOrganizations maximize the value of control assessments by requiring that assessments be conducted by assessors with appropriate levels of independence. The level of required independence is based on organizational continuous monitoring strategies. Assessor independence provides a degree of impartiality to the monitoring process. To achieve such impartiality, assessors do not cre...",medium,functional,FedRAMP_R5_Moderate_Unique CA-7(1) requires Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.GuidanceOrganizations maximize the value of control assessments by req.... OneLeet_Controls MI.AADO.V1 requires The organization shall assess information security events and decide if they are to be categorized as information security incidents.. Both address risk management. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Assessment and decision on information security events,MI.AADO.V1,The organization shall assess information security events and decide if they are to be categorized as information security incidents.,"Overlap: risk management; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes independent, assessors, authorization; OneLeet_Controls emphasizes events, assess, categorized."
CA-8(1),CA-08(01) - Independent Penetration Testing Agent or Team,"Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.GuidanceIndependent penetration testing agents or teams are individuals or groups who conduct impartial penetration testing of organizational systems. Impartiality implies that penetration testing agents or teams are free from perceived or actual conflicts of interest with respect to the development, operation, or management of the systems that are the targets of the penet...",high,functional,FedRAMP_R5_Moderate_Unique CA-8(1) requires Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.GuidanceIndependent penetration testing agents or teams.... OneLeet_Controls VM.PTFR.V1 requires Vulnerabilities identified during penetration testing are promptly remediated.. Both address risk management. The requirements are materially equivalent in scope and intent.,equal,10,Penetration testing findings remediated,VM.PTFR.V1,Vulnerabilities identified during penetration testing are promptly remediated.,Shared scope: risk management; audit and monitoring. No material divergence detected.
CA-8(2),CA-08(02) - Red Team Exercises,"Employ the following red-team exercises to simulate attempts by adversaries to compromise organizational systems in accordance with applicable rules of engagement: {{ insert: param, CA-8(2) }}.GuidanceRed team exercises extend the objectives of penetration testing by examining the security and privacy posture of organizations and the capability to implement effective cyber defenses. Red team exercises simulate attempts by adversaries to compromise mission and business functions and provide a...",medium,functional,"FedRAMP_R5_Moderate_Unique CA-8(2) requires Employ the following red-team exercises to simulate attempts by adversaries to compromise organizational systems in accordance with applicable rules of engagement: {{ insert: pa.... OneLeet_Controls AC.AR.V1 requires Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization's topic-specific policy on and.... Both address governance and policy. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Access rights,AC.AR.V1,"Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization's topic-specific policy on and rules for access control.","Shared scope: governance and policy; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes exercises, adversaries, applicable; OneLeet_Controls emphasizes access, rights, assets."
CM-2(2),CM-02(02) - Automation Support for Accuracy and Currency,"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using {{ insert: param, CM-2(2) }}.GuidanceAutomated mechanisms that help organizations maintain consistent baseline configurations for systems include configuration management tools, hardware, software, firmware inventory tools, and network management tools. Automated tools can be used at the organization level, mission and business process level, or system level on workstations, serve...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-2(2) requires Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using {{ insert: param, CM-2(2) }}.GuidanceAutomated mechanisms that.... OneLeet_Controls DM.IVU.V1 requires Implement input validation checks across all system interfaces to ensure data completeness and accuracy before processing. These checks should verify that data meets specified f.... Both address data protection. FedRAMP_R5_Moderate_Unique is narrower and fits within OneLeet_Controls scope.",subset_of,6,Input validation used,DM.IVU.V1,Implement input validation checks across all system interfaces to ensure data completeness and accuracy before processing. These checks should verify that data meets specified format requirements and business rules.,"Shared scope: data protection. FedRAMP_R5_Moderate_Unique emphasizes configuration, currency, automation; OneLeet_Controls additionally includes data, input, validation."
CM-2(3),CM-02(03) - Retention of Previous Configurations,"Retain {{ insert: param, CM-2(3) }} of previous versions of baseline configurations of the system to support rollback.GuidanceRetaining previous versions of baseline configurations to support rollback include hardware, software, firmware, configuration files, configuration records, and associated documentation.",medium,semantic,"FedRAMP_R5_Moderate_Unique CM-2(3) requires Retain {{ insert: param, CM-2(3) }} of previous versions of baseline configurations of the system to support rollback.GuidanceRetaining previous versions of baseline configurati.... OneLeet_Controls DM.EDRP.V1 requires The data retention policy is actively enforced, ensuring that data is retained for the appropriate duration and disposed of securely when it reaches the end of its retention per.... Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data retention policy enforced,DM.EDRP.V1,"The data retention policy is actively enforced, ensuring that data is retained for the appropriate duration and disposed of securely when it reaches the end of its retention period.","Overlap: none identified. Divergence: FedRAMP_R5_Moderate_Unique emphasizes configurations, previous, baseline; OneLeet_Controls emphasizes data, enforced, policy."
CM-2(7),CM-02(07) - Configure Systems and Components for High-risk Areas,"(a) Issue {{ insert: param, CM-2(7)(a)-1 }} with {{ insert: param, CM-2(7)(a)-2 }} to individuals traveling to locations that the organization deems to be of significant risk; and(b) Apply the following controls to the systems or components when the individuals return from travel: {{ insert: param, CM-2(7)(b) }}.GuidanceWhen it is known that systems or system components will be in high-risk areas external to the organization, additional controls may be implemented to counter the increased thr...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-2(7) requires (a) Issue {{ insert: param, CM-2(7)(a)-1 }} with {{ insert: param, CM-2(7)(a)-2 }} to individuals traveling to locations that the organization deems to be of significant risk; a.... OneLeet_Controls DM.STTH.V1 requires Establish more stringent configurations for systems or components issued to employees traveling to high-risk areas. Upon return, conduct post-travel inspections of devices.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Travel to high-risk locations secured,DM.STTH.V1,"Establish more stringent configurations for systems or components issued to employees traveling to high-risk areas. Upon return, conduct post-travel inspections of devices.","Overlap: risk management; data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes cm-2, insert, param; OneLeet_Controls emphasizes configurations, data, employees."
CM-3,CM-03 - Configuration Change Control,"a. Determine and document the types of changes to the system that are configuration-controlled;b. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses;c. Document configuration change decisions associated with the system;d. Implement approved configuration-controlled changes to the system;e. Retain records of configuration-controlled changes to the system for {{ insert: param,...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-3 requires a. Determine and document the types of changes to the system that are configuration-controlled;b. Review proposed configuration-controlled changes to the system and approve or d.... OneLeet_Controls OS.CMPE.V1 requires Establish a formal change management policy that outlines procedures for reviewing, approving, implementing, and documenting changes to systems, software, and procedures. This p.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Change management process established,OS.CMPE.V1,"Establish a formal change management policy that outlines procedures for reviewing, approving, implementing, and documenting changes to systems, software, and procedures. This policy ensures that all changes are controlled and do not negatively impact service delivery.","Overlap: governance and policy; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes configuration, cm-03; OneLeet_Controls emphasizes procedures, approving, changes."
CM-3(2),"CM-03(02) - Testing, Validation, and Documentation of Changes","Test, validate, and document changes to the system before finalizing the implementation of the changes.GuidanceChanges to systems include modifications to hardware, software, or firmware components and configuration settings defined in CM-6 . Organizations ensure that testing does not interfere with system operations that support organizational mission and business functions. Individuals or groups conducting tests understand security and privacy policies and procedures, system security and pr...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-3(2) requires Test, validate, and document changes to the system before finalizing the implementation of the changes.GuidanceChanges to systems include modifications to hardware, software, or.... OneLeet_Controls VM.PTFR.V1 requires Vulnerabilities identified during penetration testing are promptly remediated.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Penetration testing findings remediated,VM.PTFR.V1,Vulnerabilities identified during penetration testing are promptly remediated.,"Overlap: risk management; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes changes, before, cm-03; OneLeet_Controls emphasizes penetration, remediated, findings."
CM-3(4),CM-03(04) - Security and Privacy Representatives,"Require {{ insert: param, CM-3(4)-1 }} to be members of the {{ insert: param, CM-3(4)-2 }}.GuidanceInformation security and privacy representatives include system security officers, senior agency information security officers, senior agency officials for privacy, or system privacy officers. Representation by personnel with information security and privacy expertise is important because changes to system configurations can have unintended side effects, some of which may be security- or privacy...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-3(4) requires Require {{ insert: param, CM-3(4)-1 }} to be members of the {{ insert: param, CM-3(4)-2 }}.GuidanceInformation security and privacy representatives include system security offic.... OneLeet_Controls DM.RSPT.V1 requires This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers.... Both address governance and policy. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Role-Specific Privacy Training,DM.RSPT.V1,"This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers the handling of personal information, consumer rights, and organizational policies for protecting data. Completion is tracked, and refresher sessions are provided periodically to maintain awareness and compliance across the workforce.","Shared scope: governance and policy. FedRAMP_R5_Moderate_Unique additionally includes cm-3, insert, param; OneLeet_Controls emphasizes role-specific, training, ccpa."
CM-4(2),CM-04(02) - Verification of Controls,"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.GuidanceImplementation in this context refers to installing changed code in the operational system that may have an impact on security or privacy controls.",medium,functional,"FedRAMP_R5_Moderate_Unique CM-4(2) requires After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security a.... OneLeet_Controls DM.VOCI.V1 requires Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are.... Both address security and privacy governance. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Verification of Consumer Identity,DM.VOCI.V1,"Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are processed only for legitimate requestors, protecting personal information from unauthorized disclosure. The process is documented, monitored, and updated as needed to maintain security and regulatory compliance.","Shared scope: none identified. FedRAMP_R5_Moderate_Unique additionally includes system, after, changes; OneLeet_Controls emphasizes identity, accordance, ccpa."
CM-5(1),CM-05(01) - Automated Access Enforcement and Audit Records,"(a) Enforce access restrictions using {{ insert: param, CM-5(1)(a) }} ; and(b) Automatically generate audit records of the enforcement actions.GuidanceOrganizations log system accesses associated with applying configuration changes to ensure that configuration change control is implemented and to support after-the-fact actions should organizations discover any unauthorized changes.",medium,functional,"FedRAMP_R5_Moderate_Unique CM-5(1) requires (a) Enforce access restrictions using {{ insert: param, CM-5(1)(a) }} ; and(b) Automatically generate audit records of the enforcement actions.GuidanceOrganizations log system a.... OneLeet_Controls AC.ALAR.V1 requires Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of a.... Both address access control. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Audit log access restricted,AC.ALAR.V1,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.","Shared scope: access control; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes enforcement, records, actions; OneLeet_Controls emphasizes against, authorization, deletion."
CM-5(5),CM-05(05) - Privilege Limitation for Production and Operation,"(a) Limit privileges to change system components and system-related information within a production or operational environment; and(b) Review and reevaluate privileges {{ insert: param, CM-5(5)(b) }}.GuidanceIn many organizations, systems support multiple mission and business functions. Limiting privileges to change system components with respect to operational systems is necessary because changes to a system component may have far-reaching effects on mission and business processes supported...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-5(5) requires (a) Limit privileges to change system components and system-related information within a production or operational environment; and(b) Review and reevaluate privileges {{ insert.... OneLeet_Controls IS.PATE.V1 requires Maintain separate, dedicated environments for testing and production systems, ensuring changes are thoroughly evaluated before implementation into the live production environment.. Both address risk management. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Production and test environments separated,IS.PATE.V1,"Maintain separate, dedicated environments for testing and production systems, ensuring changes are thoroughly evaluated before implementation into the live production environment.","Shared scope: risk management; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes privileges, change, cm-05; OneLeet_Controls emphasizes environments, before, changes."
CM-6(1),"CM-06(01) - Automated Management, Application, and Verification","Manage, apply, and verify configuration settings for {{ insert: param, CM-6(1)-1 }} using {{ insert: param, CM-6(1)-2 }}.GuidanceAutomated tools (e.g., hardening tools, baseline configuration tools) can improve the accuracy, consistency, and availability of configuration settings information. Automation can also provide data aggregation and data correlation capabilities, alerting mechanisms, and dashboards to support risk-based decision-making within the organization.",medium,functional,"FedRAMP_R5_Moderate_Unique CM-6(1) requires Manage, apply, and verify configuration settings for {{ insert: param, CM-6(1)-1 }} using {{ insert: param, CM-6(1)-2 }}.GuidanceAutomated tools (e.g., hardening tools, baseline.... OneLeet_Controls DM.VOCI.V1 requires Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Verification of Consumer Identity,DM.VOCI.V1,"Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are processed only for legitimate requestors, protecting personal information from unauthorized disclosure. The process is documented, monitored, and updated as needed to maintain security and regulatory compliance.","Overlap: governance and policy; data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes cm-6, configuration, insert; OneLeet_Controls emphasizes identity, accordance, ccpa."
CM-7(1),CM-07(01) - Periodic Review,"(a) Review the system {{ insert: param, CM-7(1)(a) }} to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and(b) Disable or remove {{ insert: param, CM-7(1)(b) }}.GuidanceOrganizations review functions, ports, protocols, and services provided by systems or system components to determine the functions and services that are candidates for elimination. Such reviews are especially important during transition periods from older technologies to newer techno...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-7(1) requires (a) Review the system {{ insert: param, CM-7(1)(a) }} to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and(b) Disable or remove {{ i.... OneLeet_Controls OS.MRI.V1 requires The management review shall include consideration of: a) the status of actions from previous management reviews; b) changes in external and internal issues that are relevant to.... Both address risk management. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Management review inputs,OS.MRI.V1,"The management review shall include consideration of: a) the status of actions from previous management reviews; b) changes in external and internal issues that are relevant to the information security management system; c) changes in needs and expectations of interested parties that are relevant to the information security management system; d) feedback on the information security performance, including trends in: 1) nonconformities and corrective actions; 2) monitoring and measurement resul...","Shared scope: risk management; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes cm-7, insert, param; OneLeet_Controls emphasizes changes, relevant, actions."
CM-7(2),CM-07(02) - Prevent Program Execution,"Prevent program execution in accordance with {{ insert: param, CM-7(2) }}.GuidancePrevention of program execution addresses organizational policies, rules of behavior, and/or access agreements that restrict software usage and the terms and conditions imposed by the developer or manufacturer, including software licensing and copyrights. Restrictions include prohibiting auto-execute features, restricting roles allowed to approve program execution, permitting or prohibiting specific software pro...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-7(2) requires Prevent program execution in accordance with {{ insert: param, CM-7(2) }}.GuidancePrevention of program execution addresses organizational policies, rules of behavior, and/or ac.... OneLeet_Controls DM.VOCI.V1 requires Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Verification of Consumer Identity,DM.VOCI.V1,"Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are processed only for legitimate requestors, protecting personal information from unauthorized disclosure. The process is documented, monitored, and updated as needed to maintain security and regulatory compliance.","Overlap: access control; governance and policy. Divergence: FedRAMP_R5_Moderate_Unique emphasizes execution, prevent, cm-07; OneLeet_Controls emphasizes identity, ccpa, consumer."
CM-7(5),CM-07(05) - Authorized Software — Allow-by-exception,"(a) Identify {{ insert: param, CM-7(5)(a) }};(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and(c) Review and update the list of authorized software programs {{ insert: param, CM-7(5)(c) }}.GuidanceAuthorized software programs can be limited to specific versions or from a specific source. To facilitate a comprehensive authorized software process and increase the strength of protection for attacks that bypass application...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-7(5) requires (a) Identify {{ insert: param, CM-7(5)(a) }};(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and(c) Revie.... OneLeet_Controls EP.USRO.V1 requires Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently based on risk level, to.... Both address access control. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Unauthorized software on end-user devices addressed and removed,EP.USRO.V1,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently based on risk level, to ensure software compliance with the organizational policy.","Shared scope: access control; governance and policy; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes authorized, cm-7, insert; OneLeet_Controls emphasizes removed, unauthorized, addressed."
CM-8(1),CM-08(01) - Updates During Installation and Removal,"Update the inventory of system components as part of component installations, removals, and system updates.GuidanceOrganizations can improve the accuracy, completeness, and consistency of system component inventories if the inventories are updated as part of component installations or removals or during general system updates. If inventories are not updated at these key times, there is a greater likelihood that the information will not be appropriately captured and documented. System updates...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-8(1) requires Update the inventory of system components as part of component installations, removals, and system updates.GuidanceOrganizations can improve the accuracy, completeness, and cons.... OneLeet_Controls EP.IOSO.V1 requires Procedures and measures shall be implemented to securely manage software installation on operational systems.. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Installation of software on operational systems,EP.IOSO.V1,Procedures and measures shall be implemented to securely manage software installation on operational systems.,"Overlap: none identified. Divergence: FedRAMP_R5_Moderate_Unique emphasizes system, updates, cm-08; OneLeet_Controls emphasizes operational, software, endpoint."
CM-8(3),CM-08(03) - Automated Unauthorized Component Detection,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using {{ insert: param, CM-8(3)(a)-1 }}{{ insert: param, CM-8(3)(a)-2 }} ; and(b) Take the following actions when unauthorized components are detected: {{ insert: param, CM-8(3)(b) }}.GuidanceAutomated unauthorized component detection is applied in addition to the monitoring for unauthorized remote connections and mobile devices. Monitoring for unauthorized system components may be accomplish...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-8(3) requires (a) Detect the presence of unauthorized hardware, software, and firmware components within the system using {{ insert: param, CM-8(3)(a)-1 }}{{ insert: param, CM-8(3)(a)-2 }} ;.... OneLeet_Controls IS.IDSU.V1 requires Utilize an intrusion detection system (IDS) to monitor network traffic and detect suspicious or unauthorized activities. IDS helps identify potential security breaches and intru.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Intrusion detection system used,IS.IDSU.V1,Utilize an intrusion detection system (IDS) to monitor network traffic and detect suspicious or unauthorized activities. IDS helps identify potential security breaches and intrusions in real-time.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes cm-8, insert, param; OneLeet_Controls emphasizes intrusion, activities, ids."
CM-9,CM-09 - Configuration Management Plan,"Develop, document, and implement a configuration management plan for the system that:a. Addresses roles, responsibilities, and configuration management processes and procedures;b. Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;c. Defines the configuration items for the system and places the configuration items under configuration management;d. Is reviewed and approved by {{ in...",high,semantic,"FedRAMP_R5_Moderate_Unique CM-9 requires Develop, document, and implement a configuration management plan for the system that:a. Addresses roles, responsibilities, and configuration management processes and procedures;.... OneLeet_Controls IS.CM.V1 requires Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.. Both address audit and monitoring. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,7,Configuration management,IS.CM.V1,"Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.","Shared scope: audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes plan, cm-09, develop; OneLeet_Controls emphasizes configurations, documented, established."
CM-12,CM-12 - Information Location,"a. Identify and document the location of {{ insert: param, CM-12(a) }} and the specific system components on which the information is processed and stored;b. Identify and document the users who have access to the system and system components where the information is processed and stored; andc. Document changes to the location (i.e., system or system components) where the information is processed and stored.GuidanceInformation location addresses the need to understand where information is bein...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-12 requires a. Identify and document the location of {{ insert: param, CM-12(a) }} and the specific system components on which the information is processed and stored;b. Identify and docume.... OneLeet_Controls DM.DLAT.V1 requires All data is labeled based on its classification level. This ensures that appropriate access controls and handling procedures are applied to protect information.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data labeled according to classification level,DM.DLAT.V1,All data is labeled based on its classification level. This ensures that appropriate access controls and handling procedures are applied to protect information.,"Overlap: access control; governance and policy; data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes cm-12, configuration, location; OneLeet_Controls emphasizes data, classification, labeled."
CM-12(1),CM-12(01) - Automated Tools to Support Information Location,"Use automated tools to identify {{ insert: param, CM-12(1)-1 }} on {{ insert: param, CM-12(1)-2 }} to ensure controls are in place to protect organizational information and individual privacy.GuidanceThe use of automated tools helps to increase the effectiveness and efficiency of the information location capability implemented within the system. Automation also helps organizations manage the data produced during information location activities and share such information across the organizatio...",medium,functional,"FedRAMP_R5_Moderate_Unique CM-12(1) requires Use automated tools to identify {{ insert: param, CM-12(1)-1 }} on {{ insert: param, CM-12(1)-2 }} to ensure controls are in place to protect organizational information and indi.... OneLeet_Controls DM.ARHW.V1 requires Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion,.... Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Automated Request Handling Workflow,DM.ARHW.V1,"Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion, or opt-out of sale—ensuring timely and accurate processing. Audit trails and reporting capabilities are maintained to demonstrate compliance and support ongoing monitoring and remediation.","Overlap: data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes cm-12, insert, param; OneLeet_Controls emphasizes handling, workflow, ccpa."
CP-2(1),CP-02(01) - Coordinate with Related Plans,"Coordinate contingency plan development with organizational elements responsible for related plans.GuidancePlans that are related to contingency plans include Business Continuity Plans, Disaster Recovery Plans, Critical Infrastructure Plans, Continuity of Operations Plans, Crisis Communications Plans, Insider Threat Implementation Plans, Data Breach Response Plans, Cyber Incident Response Plans, Breach Response Plans, and Occupant Emergency Plans.",medium,functional,"FedRAMP_R5_Moderate_Unique CP-2(1) requires Coordinate contingency plan development with organizational elements responsible for related plans.GuidancePlans that are related to contingency plans include Business Continuit.... OneLeet_Controls DR.DRPD.V1 requires Document disaster recovery (DR) plans to recover critical systems and maintain operational continuity following disruptive incidents. These plans should address potential risks,.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Disaster recovery plans documented,DR.DRPD.V1,"Document disaster recovery (DR) plans to recover critical systems and maintain operational continuity following disruptive incidents. These plans should address potential risks, define recovery strategies, and integrate with broader business resilience efforts.","Overlap: incident response; risk management. Divergence: FedRAMP_R5_Moderate_Unique emphasizes contingency, coordinate, related; OneLeet_Controls emphasizes disaster, recovery, continuity."
CP-2(3),CP-02(03) - Resume Mission and Business Functions,"Plan for the resumption of {{ insert: param, CP-2(3)-1 }} mission and business functions within {{ insert: param, CP-2(3)-2 }} of contingency plan activation.GuidanceOrganizations may choose to conduct contingency planning activities to resume mission and business functions as part of business continuity planning or as part of business impact analyses. Organizations prioritize the resumption of mission and business functions. The time period for resuming mission and business functions may be...",medium,semantic,"FedRAMP_R5_Moderate_Unique CP-2(3) requires Plan for the resumption of {{ insert: param, CP-2(3)-1 }} mission and business functions within {{ insert: param, CP-2(3)-2 }} of contingency plan activation.GuidanceOrganizatio.... OneLeet_Controls DR.BIAP.V1 requires To identify and prioritize critical business functions, assess potential impacts of disruptions, and determine recovery strategies through systematic business impact analysis (B.... Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Business impact analysis performed,DR.BIAP.V1,"To identify and prioritize critical business functions, assess potential impacts of disruptions, and determine recovery strategies through systematic business impact analysis (BIA).","Overlap: none identified. Divergence: FedRAMP_R5_Moderate_Unique emphasizes contingency, cp-2, insert; OneLeet_Controls emphasizes analysis, impact, recovery."
CP-2(8),CP-02(08) - Identify Critical Assets,"Identify critical system assets supporting {{ insert: param, CP-2(8) }} mission and business functions.GuidanceOrganizations may choose to identify critical assets as part of criticality analysis, business continuity planning, or business impact analyses. Organizations identify critical system assets so that additional controls can be employed (beyond the controls routinely implemented) to help ensure that organizational mission and business functions can continue to be conducted during conti...",medium,functional,"FedRAMP_R5_Moderate_Unique CP-2(8) requires Identify critical system assets supporting {{ insert: param, CP-2(8) }} mission and business functions.GuidanceOrganizations may choose to identify critical assets as part of cr.... OneLeet_Controls IS.UAR.V1 requires Ensure that a process exists to address unauthorized assets on a periodic basis. This process should include regular audits of all assets and a procedure for handling unauthoriz.... Both address governance and policy. FedRAMP_R5_Moderate_Unique is narrower and fits within OneLeet_Controls scope.",subset_of,6,Unauthorized assets addressed and removed,IS.UAR.V1,Ensure that a process exists to address unauthorized assets on a periodic basis. This process should include regular audits of all assets and a procedure for handling unauthorized assets when they are discovered.,"Shared scope: governance and policy; audit and monitoring. FedRAMP_R5_Moderate_Unique emphasizes critical, identify, business; OneLeet_Controls additionally includes unauthorized, address, addressed."
CP-4(1),CP-04(01) - Coordinate with Related Plans,"Coordinate contingency plan testing with organizational elements responsible for related plans.GuidancePlans related to contingency planning for organizational systems include Business Continuity Plans, Disaster Recovery Plans, Continuity of Operations Plans, Crisis Communications Plans, Critical Infrastructure Plans, Cyber Incident Response Plans, and Occupant Emergency Plans. Coordination of contingency plan testing does not require organizations to create organizational elements to handle...",medium,functional,FedRAMP_R5_Moderate_Unique CP-4(1) requires Coordinate contingency plan testing with organizational elements responsible for related plans.GuidancePlans related to contingency planning for organizational systems include B.... OneLeet_Controls DR.DRPT.V1 requires Regularly test the organization's disaster recovery plans to ensure their effectiveness and identify areas for improvement. Testing helps validate the ability to recover critica.... Both address incident response. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Disaster recovery plans tested,DR.DRPT.V1,Regularly test the organization's disaster recovery plans to ensure their effectiveness and identify areas for improvement. Testing helps validate the ability to recover critical systems and operations in the event of a disaster.,"Overlap: incident response; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes contingency, coordinate, related; OneLeet_Controls emphasizes disaster, recovery, areas."
