FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,GRC Toolkit Controls Requirement Title,Target ID #,GRC Toolkit Controls Requirement Description,Notes
RISK-4b,A defined method is used to select and implement risk responses based on analysis and prioritization,"The organization should develop a defined list of acceptable risk responses and the definition of each response. It may be necessary to define approvals that are necessary for certain risk response strategies, such as accepting a risk. Processes for other risk response strategies such as transference should also be considered to ensure that cyber risks have an individual responsible for tracking them to closure. Related Practices · Progression: This practice is part of a practice progression....",medium,functional,"C2M2 RISK-4b requires The organization should develop a defined list of acceptable risk responses and the definition of each response. It may be necessary to define approvals that are necessary for c.... GRC Toolkit Controls RSK-01.1 requires Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk m.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk Framing,RSK-01.1,"Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk monitoring; (3) The organizational risk tolerance; and (4) Priorities, benefits and trade-offs considered by the organization for managing risk.","Overlap: incident response; risk management. Divergence: C2M2 emphasizes defined, responses, acceptable; GRC Toolkit Controls emphasizes affecting, assessments, monitoring."
RISK-4c,Cybersecurity controls are evaluated to determine whether they are designed appropriately and are operating as intended to mitigate identified cyber risks,"Cybersecurity control effectiveness should be evaluated by comparing the intended outcome of cybersecurity controls to the actual outcome. The organization may use performance metrics or other defined indicators to identify cybersecurity controls that are not designed appropriately. For example, if a biometric authentication device has a high false negative rate and exceptions are made for personnel access, the configuration of the control should be evaluated to determine if tuning is necessa...",medium,functional,C2M2 RISK-4c requires Cybersecurity control effectiveness should be evaluated by comparing the intended outcome of cybersecurity controls to the actual outcome. The organization may use performance m.... GRC Toolkit Controls SAT-03.6 requires Mechanisms exist to provide role-based cybersecurity and data protection awareness training that is current and relevant to the cyber threats that users might encounter in day-t.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Cyber Threat Environment,SAT-03.6,Mechanisms exist to provide role-based cybersecurity and data protection awareness training that is current and relevant to the cyber threats that users might encounter in day-to-day business operations.,"Overlap: access control; risk management. Divergence: C2M2 emphasizes evaluated, intended, outcome; GRC Toolkit Controls emphasizes awareness, training, business."
RISK-4d,"Results from cyber risk impact analyses and cybersecurity control evaluations are reviewed together by enterprise leadership to determine whether cyber risks are sufficiently mitigated, and risk tolerances are not exceeded","Unique insight can be gained from the fusion of results from cyber risk impact analyses and cybersecurity control evaluations. For example, enterprise leadership may determine that moving some systems to the cloud increases availability and improves operations of an organization, but a cybersecurity control evaluation finds that misconfigurations of the environment could lead to compromise of confidentiality. Related Practices · Progression: This practice is part of a practice progression. Pr...",medium,functional,"C2M2 RISK-4d requires Unique insight can be gained from the fusion of results from cyber risk impact analyses and cybersecurity control evaluations. For example, enterprise leadership may determine t.... GRC Toolkit Controls AAT-07.2 requires Mechanisms exist to define the potential likelihood and impact of each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technol.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,AI & Autonomous Technologies Likelihood & Impact Risk Analysis,AAT-07.2,Mechanisms exist to define the potential likelihood and impact of each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts.,"Overlap: risk management; audit and monitoring. Divergence: C2M2 emphasizes cyber, analyses, evaluations; GRC Toolkit Controls emphasizes autonomous, technologies, artificial."
RISK-4e,"Risk responses (such as mitigate, accept, avoid, or transfer) are reviewed periodically by leadership to determine whether they are still appropriate","Risk responses and defined methods to implement risk responses should be reviewed periodically to determine if they are still appropriate and effective at managing cyber risk for the organization. Changes in the operational environment such as new technology, new services, or new strategic partnerships may cause the organization to modify existing response strategies, create new response strategies, or retire response strategies. Related Practices · Progression: This practice is part of a pra...",medium,functional,"C2M2 RISK-4e requires Risk responses and defined methods to implement risk responses should be reviewed periodically to determine if they are still appropriate and effective at managing cyber risk fo.... GRC Toolkit Controls RSK-01.1 requires Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk m.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk Framing,RSK-01.1,"Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk monitoring; (3) The organizational risk tolerance; and (4) Priorities, benefits and trade-offs considered by the organization for managing risk.","Overlap: incident response; risk management; audit and monitoring. Divergence: C2M2 emphasizes responses, appropriate, determine; GRC Toolkit Controls emphasizes affecting, assessments, monitoring."
RISK-5a,"Documented procedures are established, followed, and maintained for activities in the RISK domain","The activities in the RISK domain, such as risk identification, risk impact estimation, and risk response implementation are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, and swim lane diagrams). The activities are intentionally designed or described to serve the organization rather than being ad hoc. Documenting procedures helps ensure that they are repeatable and produce expected outcomes. The level of detail included in document...",medium,functional,"C2M2 RISK-5a requires The activities in the RISK domain, such as risk identification, risk impact estimation, and risk response implementation are formally documented in some way (such as standard op.... GRC Toolkit Controls RSK-06.1 requires Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Risk Response,RSK-06.1,"Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.","Shared scope: incident response; risk management. C2M2 additionally includes activities, diagrams, documented; GRC Toolkit Controls emphasizes assessments, audits, been."
RISK-5b,"Adequate resources (people, funding, and tools) are provided to support activities in the RISK domain","When determining the adequacy of resources, it may help to consider whether there are any RISK domain activities not currently being performed that the organization would perform if it had additional people, funding, or tools. An additional consideration may be whether the organization has implemented all practices it has targeted for implementation and whether additional resources are necessary to address potential gaps. Adequate resources are provided in the form of people, funding, and too...",medium,functional,"C2M2 RISK-5b requires When determining the adequacy of resources, it may help to consider whether there are any RISK domain activities not currently being performed that the organization would perfor.... GRC Toolkit Controls RSK-03.1 requires Mechanisms exist to develop and keep current a catalog of applicable risks associated with the organization's business operations and technologies in use.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk Catalog,RSK-03.1,Mechanisms exist to develop and keep current a catalog of applicable risks associated with the organization's business operations and technologies in use.,"Overlap: risk management; audit and monitoring. Divergence: C2M2 emphasizes activities, domain, funding; GRC Toolkit Controls emphasizes catalog, applicable, associated."
RISK-5c,Up-to-date policies or other organizational directives define requirements for activities in the RISK domain,"Activities in the RISK domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives drive the development of documented policies or other organizational directives to ensure activities support the accomplishment of the organization’s mission. Policies or other organizational directives for risk management may contain · responsibility, authority, and ownership for performing RISK domain activities · procedur...",medium,functional,"C2M2 RISK-5c requires Activities in the RISK domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives drive.... GRC Toolkit Controls RSK-01.1 requires Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk m.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk Framing,RSK-01.1,"Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk monitoring; (3) The organizational risk tolerance; and (4) Priorities, benefits and trade-offs considered by the organization for managing risk.","Overlap: incident response; risk management. Divergence: C2M2 emphasizes activities, directives, domain; GRC Toolkit Controls emphasizes affecting, assessments, monitoring."
RISK-5d,"Responsibility, accountability, and authority for the performance of activities in the RISK domain are assigned to personnel",The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of RISK domain activities and that they are given the appropriate authority to act and to perform their assigned responsibilities. These are examples of how to formalize responsibility and authority for RISK domain activities: · defining roles and responsibilities in policies (see RISK-3c) · developing position descriptions and conducting asso...,medium,functional,C2M2 RISK-5d requires The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of RISK domain activities.... GRC Toolkit Controls HRS-04 requires Mechanisms exist to manage personnel security risk by screening individuals prior to authorizing access.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Personnel Screening,HRS-04,Mechanisms exist to manage personnel security risk by screening individuals prior to authorizing access.,"Overlap: access control; risk management. Divergence: C2M2 emphasizes activities, assigned, authority; GRC Toolkit Controls emphasizes screening, access, authorizing."
RISK-5e,Personnel performing activities in the RISK domain have the skills and knowledge needed to perform their assigned responsibilities,The organization must identify the skills and knowledge needed to perform RISK domain activities and identify skill and knowledge gaps in existing personnel. The organization can address gaps either by hiring qualified personnel or training existing personnel. It is important to note that managing and securing many technologies (such as virtualized or cloud-based environments) require specific training in specialized equipment and practices. Care should be taken to ensure that the level of sk...,medium,functional,"C2M2 RISK-5e requires The organization must identify the skills and knowledge needed to perform RISK domain activities and identify skill and knowledge gaps in existing personnel. The organization ca.... GRC Toolkit Controls RSK-01.1 requires Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk m.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk Framing,RSK-01.1,"Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk monitoring; (3) The organizational risk tolerance; and (4) Priorities, benefits and trade-offs considered by the organization for managing risk.","Overlap: incident response; risk management; audit and monitoring. Divergence: C2M2 emphasizes knowledge, activities, domain; GRC Toolkit Controls emphasizes affecting, assessments, monitoring."
RISK-5f,The effectiveness of activities in the RISK domain is evaluated and tracked,"The organization should measure the performance of RISK activities to ensure they are being performed as described in plans, policies, and procedures for the RISK domain. Appropriate metrics should be developed and collected to detect deviations in performance and measure the extent to which RISK domain activities are achieving their intended purpose.",medium,functional,"C2M2 RISK-5f requires The organization should measure the performance of RISK activities to ensure they are being performed as described in plans, policies, and procedures for the RISK domain. Approp.... GRC Toolkit Controls GOV-05.2 requires Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and data.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Key Risk Indicators (KRIs),GOV-05.2,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and data protection program.","Overlap: risk management; governance and policy. Divergence: C2M2 emphasizes activities, domain, being; GRC Toolkit Controls emphasizes data, indicators, key."
ACCESS-1a,"Identities are provisioned, at least in an ad hoc manner, for personnel and other entities such as services and devices that require access to assets (note that this does not preclude shared identities)","Provisioning refers to the creation or registration of identities. This involves identifying the entity and documenting attributes such as role and position in the organization. Provisioning is performed for persons, devices, systems, and processes, whether internal or external to the organization. Thus, a vendor, agency, or business partner may be registered as an identity by the organization, as could a system or process from an external organization. In some cases, organizations may need t...",medium,functional,"C2M2 ACCESS-1a requires Provisioning refers to the creation or registration of identities. This involves identifying the entity and documenting attributes such as role and position in the organization..... GRC Toolkit Controls CLD-13.1 requires Mechanisms exist to authorize specified individuals to access External Service Providers (ESP) owned, operated and/or maintained external Technology Assets, Applications and/or.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Authorized Individuals For Hosted Assets, Applications & Services",CLD-13.1,"Mechanisms exist to authorize specified individuals to access External Service Providers (ESP) owned, operated and/or maintained external Technology Assets, Applications and/or Services (TAAS).","Overlap: access control; third-party management. Divergence: C2M2 emphasizes identities, creation, devices; GRC Toolkit Controls emphasizes applications, external, individuals."
ACCESS-1b,"Credentials (such as passwords, smartcards, certificates, and keys) are issued for personnel and other entities that require access to assets, at least in an ad hoc manner","Prior to giving personnel and other entities access to organizational assets, the organization should issue credentials to prove that the individual requesting access has the necessary privileges to access the assets. Entities may include individuals (internal or external to the organization) as well as devices, systems, or processes that require access to assets. The privileges associated with those credentials should be in line with the operational requirements. Related Practices · Progress...",medium,functional,"C2M2 ACCESS-1b requires Prior to giving personnel and other entities access to organizational assets, the organization should issue credentials to prove that the individual requesting access has the ne.... GRC Toolkit Controls MNT-06.1 requires Mechanisms exist to ensure the risks associated with maintenance personnel who do not have appropriate access authorizations, clearances or formal access approvals are appropria.... Both address access control. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Maintenance Personnel Without Appropriate Access,MNT-06.1,"Mechanisms exist to ensure the risks associated with maintenance personnel who do not have appropriate access authorizations, clearances or formal access approvals are appropriately mitigated.","Shared scope: access control. C2M2 additionally includes assets, credentials, other; GRC Toolkit Controls emphasizes maintenance, appropriate, appropriately."
ACCESS-1c,"Identities are deprovisioned, at least in an ad hoc manner, when no longer required","When a person, object, or entity ceases to exist in the organization, the associated identity and all of its access privileges and restrictions should be eliminated. The failure to deprovision an identity can result in significant operational risk to an organization because it may provide an identity to which an unauthorized (and perhaps unknown) person, object, or entity can associate. If this occurs and its access privileges have not been terminated, the identity can be stolen along with al...",medium,functional,"C2M2 ACCESS-1c requires When a person, object, or entity ceases to exist in the organization, the associated identity and all of its access privileges and restrictions should be eliminated. The failure.... GRC Toolkit Controls TPM-04 requires Mechanisms exist to mitigate the risks associated with third-party access to the organization's Technology Assets, Applications, Services and/or Data (TAASD).. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Third-Party Services,TPM-04,"Mechanisms exist to mitigate the risks associated with third-party access to the organization's Technology Assets, Applications, Services and/or Data (TAASD).","Overlap: access control; risk management. Divergence: C2M2 emphasizes ceases, deprovisioned, eliminated; GRC Toolkit Controls emphasizes third-party, services, applications."
ACCESS-1d,Password strength and reuse restrictions are defined and enforced,"Password strength and reuse requirements may not be supported by all assets within the function. Where feasible, these requirements may be informed by safety and operational considerations, the organization's risk tolerance, the organization's threat profile (THREAT-2e), asset priority, the sensitivity of information, or other considerations. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent i...",medium,functional,"C2M2 ACCESS-1d requires Password strength and reuse requirements may not be supported by all assets within the function. Where feasible, these requirements may be informed by safety and operational con.... GRC Toolkit Controls IAC-10.4 requires Automated mechanisms exist to determine if password authenticators are sufficiently strong enough to satisfy organization-defined password length and complexity requirements.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Automated Support For Password Strength,IAC-10.4,Automated mechanisms exist to determine if password authenticators are sufficiently strong enough to satisfy organization-defined password length and complexity requirements.,"Overlap: access control. Divergence: C2M2 emphasizes reuse, access, assets; GRC Toolkit Controls emphasizes automated, authentication, authenticators."
ACCESS-1e,"Identity repositories are reviewed and updated periodically and according to defined triggers, such as system changes and changes to organizational structure","Periodic review of identities can help the organization ensure they remain viable and accurate. The periodic review should be performed by the organization with the intent of identifying identities that are no longer valid, are duplicated, or that have changed materially but were not detected by the change management process. Reviews may also uncover identities with invalid roles or responsibilities to which access privileges have been provisioned. Invalid or duplicated identities can result...",medium,functional,C2M2 ACCESS-1e requires Periodic review of identities can help the organization ensure they remain viable and accurate. The periodic review should be performed by the organization with the intent of id.... GRC Toolkit Controls IAC-15.7 requires Mechanisms exist to review all system accounts and disable any account that cannot be associated with a business process and owner.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,System Account Reviews,IAC-15.7,Mechanisms exist to review all system accounts and disable any account that cannot be associated with a business process and owner.,"Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes changes, access, according; GRC Toolkit Controls emphasizes account, accounts, associated."
ACCESS-1f,Identities are deprovisioned within organization-defined time thresholds when no longer required,"Deprovisioning should occur as a result of the staff change or termination process. The organization should define a time-based requirement within which the deprovisioning should be done. For example, upon a termination, deprovisioning should occur immediately; for staff transitions to new positions, the time frame might be longer. For timely deprovisioning to be possible, there must be a process for human resources departments to feed termination information to those who are responsible for...",medium,functional,"C2M2 ACCESS-1f requires Deprovisioning should occur as a result of the staff change or termination process. The organization should define a time-based requirement within which the deprovisioning shoul.... GRC Toolkit Controls HRS-09.2 requires Mechanisms exist to expedite the process of removing ""high risk"" individual’s access to Technology Assets, Applications, Services and/or Data (TAASD) upon termination, as determ.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,High-Risk Terminations,HRS-09.2,"Mechanisms exist to expedite the process of removing ""high risk"" individual’s access to Technology Assets, Applications, Services and/or Data (TAASD) upon termination, as determined by management.","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes change, deprovisioned, deprovisioning; GRC Toolkit Controls emphasizes applications, assets, data."
ACCESS-1g,The use of privileged credentials is limited to processes for which they are required,"Privileged accounts represent higher risk to IT and OT assets. An organization may control the use of privileged credentials through administrative means, such as a policy that restricts the use of a local administrative accounts to required tasks and prohibits use of privileged accounts for day-to-day work functions. Alternatively, an organization may implement technical controls to restrict privileged accounts from accessing resources that do not require elevated privileges. Related Practic...",medium,functional,"C2M2 ACCESS-1g requires Privileged accounts represent higher risk to IT and OT assets. An organization may control the use of privileged credentials through administrative means, such as a policy that.... GRC Toolkit Controls VPM-06.3 requires Mechanisms exist to implement privileged access authorization for selected vulnerability scanning activities.. Both address access control. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Privileged Access,VPM-06.3,Mechanisms exist to implement privileged access authorization for selected vulnerability scanning activities.,"Shared scope: access control; risk management. C2M2 additionally includes accounts, assets, credentials; GRC Toolkit Controls emphasizes vulnerability, activities, authorization."
ACCESS-1h,"Stronger credentials, multifactor authentication, or single use credentials are required for higher risk access (such as privileged accounts, service accounts, shared accounts, and remote access)","The requirements for credentials used to access the organization’s assets should be commensurate with the risk associated with the assets. If an organization uses a matrix for determining the potential impact and priority of risks, it may develop a companion matrix that specifies credential and authentication requirements for each level of impact. For example, for remote access to a system with risks that could result in significant impact (level 4 of 5) and a high likelihood of occurrence (l...",medium,functional,"C2M2 ACCESS-1h requires The requirements for credentials used to access the organization’s assets should be commensurate with the risk associated with the assets. If an organization uses a matrix for d.... GRC Toolkit Controls IAC-21.6 requires Mechanisms exist to authorize remote access to perform privileged commands on critical Technology Assets, Applications and/or Services (TAAS) or where sensitive/regulated data i.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Network Access to Privileged Commands,IAC-21.6,"Mechanisms exist to authorize remote access to perform privileged commands on critical Technology Assets, Applications and/or Services (TAAS) or where sensitive/regulated data is stored, transmitted and/or processed only for compelling operational needs.","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes accounts, credentials, risk; GRC Toolkit Controls emphasizes commands, applications, authorize."
ACCESS-1i,"Multifactor authentication is required for all access, where feasible","Multifactor authentication may not be supported by all assets within the function. Where feasible, stronger authentication controls, such as multifactor authentication reduce the risk of account misuse resulting from compromised credentials. Where multifactor authentication is not feasible, organizations may consider implementing mitigating controls depending on their risk appetite, threat environment, and operational needs. Related Practices · Progression: This practice is part of a practice...",medium,functional,"C2M2 ACCESS-1i requires Multifactor authentication may not be supported by all assets within the function. Where feasible, stronger authentication controls, such as multifactor authentication reduce th.... GRC Toolkit Controls VPM-06.3 requires Mechanisms exist to implement privileged access authorization for selected vulnerability scanning activities.. Both address access control. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Privileged Access,VPM-06.3,Mechanisms exist to implement privileged access authorization for selected vulnerability scanning activities.,"Shared scope: access control; risk management. C2M2 additionally includes authentication, multifactor, assets; GRC Toolkit Controls emphasizes privileged, vulnerability, activities."
ACCESS-1j,"Identities are disabled after a defined period of inactivity, where feasible","Enforcement of identity deprovisioning based on periods of inactivity can reduce the risk of a dormant account being misused or subject to malicious activity. The period of inactivity must be established by the organization commensurate with potential risk. For example, temporary identities supplied to contractors might be appropriately disabled after a period of 30 days or less. An organization may implement this control by first monitoring last logon timestamp or other attributes to identif...",medium,functional,"C2M2 ACCESS-1j requires Enforcement of identity deprovisioning based on periods of inactivity can reduce the risk of a dormant account being misused or subject to malicious activity. The period of inac.... GRC Toolkit Controls CLD-15 requires Automated mechanisms exist to utilize Software Defined Storage (SDS) to scale access management permissions to Technology Assets, Applications, Services and/or Data (TAASD).. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Software Defined Storage (SDS),CLD-15,"Automated mechanisms exist to utilize Software Defined Storage (SDS) to scale access management permissions to Technology Assets, Applications, Services and/or Data (TAASD).","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes inactivity, account, activity; GRC Toolkit Controls emphasizes sds, software, storage."
ACCESS-2a,"Logical access controls are implemented, at least in an ad hoc manner",Access controls are a key element of the protection provided to assets. Access privileges and restrictions describe the level and extent of access provided to identities. Access privileges should be commensurate with the various roles represented by an identity. Related Practices · Input From: Implementing ARCHITECTURE-3a provides input that may be useful for implementing this practice. · Progression: This practice is part of a practice progression. Practice progressions are groups of related...,medium,functional,"C2M2 ACCESS-2a requires Access controls are a key element of the protection provided to assets. Access privileges and restrictions describe the level and extent of access provided to identities. Access.... GRC Toolkit Controls IAC-20 requires Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege."". Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access Enforcement,IAC-20,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes assets, element, hoc; GRC Toolkit Controls emphasizes authentication, conform, enforce."
ACCESS-2b,"Logical access privileges are revoked when no longer needed, at least in an ad hoc manner","Asset owners and custodians are responsible for revoking logical access privileges when no longer required, such as upon an employee’s termination or transition to a new role. Generally, staff should maintain the minimum set of privileges needed to perform their assigned responsibilities. Revoking logical access that is no longer required helps prevent aggregation of access privileges. Related Practices · Input From: Implementing ARCHITECTURE-3a provides input that may be useful for implement...",medium,functional,"C2M2 ACCESS-2b requires Asset owners and custodians are responsible for revoking logical access privileges when no longer required, such as upon an employee’s termination or transition to a new role. G.... GRC Toolkit Controls IAC-20 requires Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege."". Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access Enforcement,IAC-20,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes longer, privileges, asset; GRC Toolkit Controls emphasizes authentication, conform, enforce."
ACCESS-2c,"Logical access requirements are established and maintained (for example, rules for which types of entities are allowed to access an asset, limits of allowed access, constraints on remote access, authentication parameters)","It is the asset owner’s responsibility to ensure that requirements for protecting and sustaining assets are defined for assets under the owner’s control, including requirements for controlling logical access (for example, rules for which types of entities are allowed to access an asset, the limits of allowed access, constraints on remote access, and authentication parameters). For example, the logical access requirements for a specific asset might allow remote access by a vendor only during s...",medium,functional,"C2M2 ACCESS-2c requires It is the asset owner’s responsibility to ensure that requirements for protecting and sustaining assets are defined for assets under the owner’s control, including requirements.... GRC Toolkit Controls IAC-29.2 requires Mechanisms exist to develop access profile rules for sensitive/regulated Technology Assets, Applications, Services and/or Data (TAASD) access based on User, Data, Network, Envir.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access Profile Rules,IAC-29.2,"Mechanisms exist to develop access profile rules for sensitive/regulated Technology Assets, Applications, Services and/or Data (TAASD) access based on User, Data, Network, Environment & Device attributes.","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes allowed, asset, requirements; GRC Toolkit Controls emphasizes data, profile, applications."
ACCESS-2d,Logical access requirements incorporate the principle of least privilege,"The principle of least privilege is a security requirement that establishes limitations on authorized users only to the privileges they require to perform assigned tasks in accordance with their job responsibilities and roles and nothing more. Organizations employ the principle of least privilege when considering the assignment of access rights and controls for specific duties and systems (including specific functions, ports, protocols, and services). The principle of least privilege also app...",medium,functional,"C2M2 ACCESS-2d requires The principle of least privilege is a security requirement that establishes limitations on authorized users only to the privileges they require to perform assigned tasks in acco.... GRC Toolkit Controls IAC-21 requires Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Least Privilege,IAC-21,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Overlap: access control. Divergence: C2M2 emphasizes principle, establishes, incorporate; GRC Toolkit Controls emphasizes accomplish, allowing, authentication."
ACCESS-2e,Logical access requirements incorporate the principle of separation of duties,"This principle should be included in access requirements to avoid or reduce the potential impact of errors or malicious activities and to prevent potential fraud. For example, the individual requesting access should not also be the person granting access, and the person requesting access should be granted only the minimum set of privileges needed to perform assigned responsibilities. As noted elsewhere in the model, it is important to consider access privileges for devices, systems, and proce...",medium,functional,"C2M2 ACCESS-2e requires This principle should be included in access requirements to avoid or reduce the potential impact of errors or malicious activities and to prevent potential fraud. For example, t.... GRC Toolkit Controls IAC-20 requires Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege."". Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access Enforcement,IAC-20,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes potential, requirements, activities; GRC Toolkit Controls emphasizes authentication, conform, enforce."
ACCESS-2f,Logical access requests are reviewed and approved by the asset owner,"Privileges for logical access to an asset are assigned and approved by asset owners, custodians, or authorized delegates based on the role of the person, object, or entity that is requesting access. The asset owner or custodian is responsible for granting logical access privileges based on the identity’s role and the asset’s cybersecurity requirements. Asset owners and custodians must be aware of which particular identities require access to their assets and must validate the requirement with...",medium,functional,"C2M2 ACCESS-2f requires Privileges for logical access to an asset are assigned and approved by asset owners, custodians, or authorized delegates based on the role of the person, object, or entity that.... GRC Toolkit Controls IAC-20 requires Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege."". Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access Enforcement,IAC-20,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes asset, approved, assigned; GRC Toolkit Controls emphasizes authentication, conform, enforce."
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,"Privileged access, service accounts, shared accounts, and remote access should be subject to stricter control than routine user access. Additional scrutiny might require that access requests are approved by more than one person or an individual with a higher level of authority than standard user access requests. Additional monitoring might entail logging the use of elevated privileges. As an example, in a mature organization, privileged access to shared accounts may be implemented through pro...",medium,functional,"C2M2 ACCESS-2g requires Privileged access, service accounts, shared accounts, and remote access should be subject to stricter control than routine user access. Additional scrutiny might require that ac.... GRC Toolkit Controls RSK-11 requires Mechanisms exist to ensure risk monitoring as an integral part of the continuous monitoring strategy that includes monitoring the effectiveness of cybersecurity and data protect.... Both address risk management. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Risk Monitoring,RSK-11,"Mechanisms exist to ensure risk monitoring as an integral part of the continuous monitoring strategy that includes monitoring the effectiveness of cybersecurity and data protection controls, compliance and change management.","Shared scope: risk management; audit and monitoring; data protection. C2M2 additionally includes access, accounts, additional; GRC Toolkit Controls emphasizes management, change, compliance."
